anyo,ingresos_meur,gastos_meur,saldo_meur,ingresos_pct_pib,gastos_pct_pib,saldo_pct_pib,imp_renta_patrimonio_meur,imp_produccion_meur,cotizaciones_meur,imp_renta_patrimonio_pct_pib,deuda_meur,deuda_pct_pib,gasto_GF01,gastopct_GF01,gasto_GF02,gastopct_GF02,gasto_GF03,gastopct_GF03,gasto_GF04,gastopct_GF04,gasto_GF05,gastopct_GF05,gasto_GF06,gastopct_GF06,gasto_GF07,gastopct_GF07,gasto_GF08,gastopct_GF08,gasto_GF09,gastopct_GF09,gasto_GF10,gastopct_GF10,gasto_TOTAL,gastopct_TOTAL,social_GF1001,social_GF1002,social_GF1003,social_GF1004,social_GF1005,social_GF1006,social_GF1007,social_GF1008,social_GF1009,ingresos_meur_real_pc,gasto_GF10_real_pc,gasto_GF07_real_pc,gasto_GF09_real_pc,gasto_TOTAL_real_pc
2018,472250.0,503193.0,-30943.0,39.0,41.5,-2.6,127284.0,141184.0,149450.0,10.5,1209741.8,99.8,67520.0,5.6,10287.0,0.8,21542.0,1.8,51532.0,4.3,10258.0,0.8,5130.0,0.4,72146.0,6.0,13544.0,1.1,47764.0,3.9,203470.0,16.8,503193.0,41.5,29376.0,112641.0,26736.0,9981.0,18647.0,366.0,4079.0,0.0,1644.0,10124.328251624447,4362.090141573376,1546.701505646792,1023.9881728122608,10787.699536092454
2019,488347.0,526769.0,-38422.0,39.0,42.0,-3.1,129117.0,143058.0,160656.0,10.3,1224363.8,97.7,67671.0,5.4,10537.0,0.8,22685.0,1.8,52761.0,4.2,10803.0,0.9,5190.0,0.4,75917.0,6.1,14420.0,1.2,50052.0,4.0,216733.0,17.3,526769.0,42.0,31379.0,118714.0,28268.0,11671.0,20087.0,373.0,4542.0,1.0,1698.0,10336.007940756901,4587.217714092778,1606.8056419686038,1059.3653067404211,11149.220875616256
2020,468267.0,580164.0,-111897.0,41.5,51.4,-9.9,125348.0,126756.0,162174.0,11.1,1346916.4,119.3,66059.0,5.8,10549.0,0.9,23458.0,2.1,65789.0,5.8,10785.0,1.0,5149.0,0.5,85545.0,7.6,13382.0,1.2,52003.0,4.6,247445.0,21.9,580164.0,51.4,34136.0,122744.0,28769.0,11657.0,42338.0,385.0,5760.0,3.0,1653.0,9859.236478558156,5209.888312515772,1801.1271017565991,1094.9092603033307,12215.197894248822
2021,528950.0,611124.0,-82174.0,42.8,49.5,-6.7,143485.0,146953.0,171687.0,11.6,1429403.6,115.7,70976.0,5.7,11716.0,0.9,24540.0,2.0,78943.0,6.4,11465.0,0.9,5780.0,0.5,88541.0,7.2,14607.0,1.2,55885.0,4.5,248671.0,20.1,611124.0,49.5,35295.0,129584.0,29794.0,12625.0,32137.0,440.0,7088.0,54.0,1654.0,10783.898478787327,5069.747270287406,1805.1179794126263,1139.3480791890156,12459.210084035216
2022,574012.0,637117.0,-63105.0,41.7,46.3,-4.6,164770.0,160429.0,180086.0,12.0,1504105.1,109.3,77818.0,5.7,15347.0,1.1,25798.0,1.9,77131.0,5.6,13335.0,1.0,6461.0,0.5,93327.0,6.8,17120.0,1.2,58669.0,4.3,252111.0,18.3,637117.0,46.3,37445.0,137505.0,30854.0,13229.0,21609.0,391.0,9284.0,111.0,1683.0,10777.152576629162,4733.417965559177,1752.2269891902426,1101.5183733410734,11961.95744716877
2023,630198.0,680225.0,-50027.0,42.1,45.4,-3.3,183119.0,165865.0,197003.0,12.2,1575376.7,105.2,84425.0,5.6,14008.0,0.9,27414.0,1.8,74851.0,5.0,14579.0,1.0,7821.0,0.5,98630.0,6.6,18638.0,1.2,62532.0,4.2,277327.0,18.5,680225.0,45.4,40134.0,153051.0,33633.0,14664.0,22995.0,627.0,10224.0,2.0,1997.0,11286.085009532657,4966.591606826209,1766.3441719748491,1119.8725921315145,12182.008155546908
2024,673734.0,725001.0,-51267.0,42.3,45.5,-3.2,198711.0,176937.0,210337.0,12.5,1620573.4,101.6,92551.0,5.8,14233.0,0.9,28628.0,1.8,80908.0,5.1,15539.0,1.0,7613.0,0.5,102942.0,6.5,19193.0,1.2,65862.0,4.1,297532.0,18.7,725001.0,45.5,44019.0,165050.0,35425.0,15294.0,24077.0,657.0,10878.0,5.0,2127.0,11611.047423655875,5127.629245451736,1774.0895425879994,1135.057463949902,12494.576484484876
