anyo,pob_total,pob_nac_espanola,pob_nac_extranjera,pob_65mas,pct_65mas,pob_15_64,nacidos_espana_ecp,nacidos_fuera_ecp,nacidos_espana_censo,nacidos_fuera_censo,nacidos_fuera_enlazada,nacidos_espana_enlazada,pct_nacidos_fuera,adquisiciones_nacionalidad,inmigraciones_serie_antigua,inmigraciones_serie_nueva,emigraciones_serie_nueva,saldo_migratorio_ext
2018,46645070.0,42067748.0,4577322.0,8918454.0,19.11982123727116,30785600.0,40459614.470431,6198832.101939,,,6198832.101939,40459614.470431,13.285551828915363,90774.0,643684.0,,,334158.0
2019,46918951.0,42068189.0,4850762.0,9056923.0,19.30333651321403,30975161.0,40398099.438366,6538960.439632997,,,6538960.439632997,40398099.438366,13.93133795902293,98954.0,750480.0,,,454232.0
2020,47318050.0,42076772.0,5241278.0,9211438.0,19.467070177236806,31274248.0,40335788.732764,6996825.155426003,,,6996825.155426003,40335788.732764,14.782249659725185,126266.0,467918.0,,,219357.0
2021,47400798.0,41998096.0,5402702.0,9311484.0,19.644150294684913,31374646.0,40183817.058692,7214877.886699997,40146001.0,7254797.0,7254797.0,40146001.0,15.30522123277334,144012.0,528856.0,887960.0,696866.0,148070.0
2022,47486727.0,41977681.0,5509046.0,9481802.0,19.96726790625094,31417405.0,40067582.372198,7365310.571096003,40018611.0,7468116.0,7468116.0,40018611.0,15.726744022598146,181581.0,,1258894.0,531889.0,258547.0
2023,48085361.0,41995741.0,6089620.0,9687776.0,20.14703809751995,31860370.0,,,39881155.0,8204206.0,8204206.0,39881155.0,17.061753992030965,240208.0,,1250991.0,608695.0,
2024,48619695.0,42117413.0,6502282.0,9928368.0,20.4204654101594,32260950.0,,,39781461.0,8838234.0,8838234.0,39781461.0,18.17829996671102,252476.0,,1288562.0,662294.0,
2025,49128297.0,42216326.0,6911971.0,10178625.0,20.718456819294996,32605609.0,,,39664087.0,9464210.0,9464210.0,39664087.0,19.26427451779979,299732.0,,,,
