anyo,pob_total,pob_espanola,pob_extranjera,pct_pob_extranjera,hechos_conocidos,hechos_conocidos_por_100k,hechos_esclarecidos,tasa_esclarecimiento_pct,detenidos_total,detenidos_extranjeros,detenidos_espanoles,pct_detenidos_extranjeros,detenidos_esp_por_100k_pob_esp,detenidos_ext_por_100k_pob_ext,ratio_tasas_ext_esp,detenidos_menores_14_17,condenados_total,condenados_esp,condenados_ext,pct_condenados_extranjeros,condenados_esp_por_100k_pob_esp,condenados_ext_por_100k_pob_ext,delitos_sexuales_española,delitos_sexuales_extranjera,delitos_sexuales_total
2018,46645070.0,42067748.0,4577322.0,9.813088500027977,2131118.0,4568.795802000082,673594.0,31.607541206071176,394824.0,99499.0,295325.0,25.20084898587725,702.0223663981253,2173.738268795597,3.0963946062693446,18670.0,286637.0,218695.0,67942.0,23.703150674895426,519.8638158619758,1484.3176861929312,312.0,96.0,408.0
2019,46918951.0,42068189.0,4850762.0,10.338598576084959,2199475.0,4687.817935230479,702544.0,31.941440571045366,411903.0,107676.0,304227.0,26.14110603710097,723.1758895064391,2219.774954945223,3.0694814182206747,19997.0,286931.0,215287.0,71644.0,24.969069218732027,511.7572330009262,1476.9638254773167,411.0,137.0,548.0
2020,47318050.0,42076772.0,5241278.0,11.076699060929181,1766779.0,3733.8372988743195,616665.0,34.90334671172795,415060.0,131108.0,283952.0,31.58772225702308,674.8426423966173,2501.450981993323,3.7067174254278594,20765.0,221437.0,165928.0,55509.0,25.06762645808966,394.3458400278424,1059.0737602546553,376.0,101.0,477.0
2021,47400798.0,41998096.0,5402702.0,11.397913596306966,1957719.0,4130.139328034098,685383.0,35.0092633314587,453222.0,145297.0,307925.0,32.05868205868206,733.187999760751,2689.3395193738243,3.6680080964928385,23431.0,282210.0,212259.0,69951.0,24.786860848304453,505.4014829624657,1294.741038835753,497.0,112.0,609.0
2022,47486727.0,41977681.0,5509046.0,11.601233329894479,2323075.0,4892.051204118574,771302.0,33.20176920676259,508419.0,172314.0,336105.0,33.892124409197926,800.6754827642814,3127.837378740348,3.9064982581228636,24449.0,308624.0,230291.0,78333.0,25.381370211001087,548.6034352397885,1421.8977296613607,512.0,124.0,636.0
2023,48085361.0,41995741.0,6089620.0,12.664186923750037,2464759.0,5125.799097151418,845845.0,34.31755396775101,556793.0,197096.0,359697.0,35.39843352915715,856.5082825898941,3236.5894752053496,3.7788186535903767,24552.0,280322.0,202606.0,77716.0,27.723831879053375,482.44416023043857,1276.204426548783,406.0,94.0,500.0
2024,48619695.0,42117413.0,6502282.0,13.373761394430797,2454206.0,5047.760994798507,888405.0,36.1992840046842,577107.0,217377.0,359730.0,37.666671865009434,854.1122884256923,3343.0878574629646,3.9141081363259334,23622.0,306807.0,218990.0,87817.0,28.62288018200367,519.9512135277635,1350.5566199681896,697.0,128.0,825.0
2025,49128297.0,42216326.0,6911971.0,14.069225725451057,,,,,,,,,,,,,306237.0,214875.0,91362.0,29.83375620842681,508.9855521771364,1321.7937401647084,676.0,165.0,841.0
