anyo,ipc_general_media_anual,euros_necesarios_para_1000e_2018,poder_compra_de_1000e_de_2018,salario_medio_nominal,salario_medio_real_e2018,salario_decil1_hombres_nominal,salario_decil1_hombres_real_e2018,salario_decil5_hombres_nominal,salario_decil5_hombres_real_e2018,salario_decil10_hombres_nominal,salario_decil10_hombres_real_e2018,salario_decil1_mujeres_nominal,salario_decil1_mujeres_real_e2018,salario_decil5_mujeres_nominal,salario_decil5_mujeres_real_e2018,salario_decil10_mujeres_nominal,salario_decil10_mujeres_real_e2018,renta_persona_nominal_anyorenta,renta_persona_real_e2018_anyorenta,renta_unidad_consumo_nominal_anyorenta,renta_unidad_consumo_real_e2018_anyorenta,arope_pct_encuesta,arope_monoparental_pct_encuesta,ipv_general_idx2015,ipv_real_e2018_idx,hipotecas_viviendas_numero,hipotecas_importe_medio_eur,hipotecas_importe_medio_real_e2018,hipoteca_plazo_medio_anyos
2017,,,,,,,,,,,,,,,,,,11412.0,,16937.0,,,,,,,,,
2018,96.63783333333333,1000.0,1000.0,24009.12,24009.119999999995,507.2,507.2,1546.3,1546.3,4889.3,4889.3,470.7,470.7,1547.3,1547.3,4637.7,4637.7,11680.0,11680.0,17287.0,17287.0,27.3,51.1,118.595,100.0,348326.0,124265.43525318237,124265.43525318237,23.916666666666668
2019,97.31383333333333,1006.9951899445869,993.0534028221407,24395.98,24226.51095418089,551.6,547.7682569966928,1597.8,1586.7007270292165,4820.3,4786.815317623565,525.7,522.0481738635995,1591.4,1580.345185251155,4564.7,4532.990867862225,12292.0,12206.612427489754,18116.0,17990.155445525903,26.2,47.6,124.597,104.33110572235785,361291.0,125614.67072249239,124742.07620535379,23.666666666666668
2020,96.99975,1003.7450825849779,996.2688907273815,25165.51,25071.614732288825,551.7,549.6415470142964,1608.4,1602.3988838459206,5037.9,5019.103044595476,510.9,508.9937762726192,1604.7,1598.7126889502292,4848.4,4830.310089802636,12269.0,12223.223020334244,18103.0,18035.455728837787,27.0,49.8,127.232,106.88248535353615,337752.0,134738.27542101897,134235.552192219,23.916666666666668
2021,100.00008333333334,1034.7922742473188,966.3775280187266,25896.82,25026.104895145916,595.5,575.4778179351516,1654.1,1598.4850690957755,5117.5,4945.436999635834,556.1,537.4025433312139,1650.4,1594.9094722421064,5027.3,4858.269746608545,13008.0,12570.638884467597,19160.0,18515.7934368388,27.8,54.3,131.928,107.50221722370637,418058.0,137523.02072918112,132899.15681793416,24.5
2022,108.39066666666668,1121.6173099907387,891.5696923474345,26948.87,24026.795735011005,649.8,579.3419860873629,1711.9,1526.2781563295732,5055.1,4506.973951785517,610.4,544.214140208874,1703.0,1518.343186067681,4912.1,4379.479485779833,14082.0,12555.084407636574,20676.0,18434.094958975555,26.0,49.2,141.675,106.50797770843863,464107.0,144913.918557574,129200.85778523744,24.416666666666668
2023,112.21941666666667,1161.2368861746695,861.1507366892092,28049.94,24155.226495088118,672.8,579.3822156445,1833.9,1579.2643360143409,5432.3,4678.029146916791,635.8,547.5196383869992,1834.0,1579.3504510880098,5311.9,4574.34659821941,14807.0,12751.058958157122,21759.0,18737.778879620502,26.5,52.7,147.282,106.94548910245804,380966.0,141826.98718520813,122134.41449695302,24.333333333333332
2024,115.33258333333333,1193.4516674801278,837.9057378263298,29540.26,24751.953350881617,709.6,594.5779115615636,1888.5,1582.3849858850238,5769.9,4834.63231668414,710.4,595.2482361518247,1889.0,1582.803938753937,5690.6,4768.186391674512,15620.0,13088.08762484727,22943.0,19224.071342949486,25.8,50.3,159.656,112.80128038989884,425522.0,145360.52425021504,121798.41732269854,24.25
2025,118.41550000000001,1225.3534243834802,816.0910804188077,,,,,,,,,,,,,,,,,,,25.7,50.6,179.905,123.79852929950302,500883.0,163940.2614981942,133790.18513020314,25.083333333333332
