anyo,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Comunicaciones,Enseñanza,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Ocio y cultura,Otros bienes y servicios,Restaurantes y hoteles,Sanidad,Transporte,Vestido y calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Índice general
2018,94.94566666666667,98.50383333333333,103.53133333333334,98.29491666666667,98.051,100.91266666666667,96.28333333333335,96.1465,98.15733333333333,95.77075,97.11541666666666,94.66466666666668,96.63783333333333
2019,95.92766666666667,99.16416666666667,104.33308333333333,99.24991666666666,98.69175,100.45266666666667,97.62633333333333,98.06575,98.95591666666667,96.86666666666667,98.02333333333333,93.28116666666666,97.31383333333333
2020,98.18675,99.69958333333334,103.08550000000001,99.84566666666667,99.06841666666666,99.83999999999999,99.01316666666666,99.13499999999999,99.32241666666665,93.19666666666666,98.99166666666667,89.97666666666667,96.99975
2021,99.99983333333334,100.0,99.99983333333334,100.0,99.99991666666666,99.99991666666666,99.99991666666666,100.00008333333334,99.99991666666666,100.00008333333334,100.00008333333334,99.99991666666666,100.00008333333334
2022,111.6395,103.86758333333334,98.7475,101.24883333333332,106.34366666666666,102.7975,103.51583333333333,106.40166666666666,101.10208333333333,112.14966666666668,102.67233333333333,115.50491666666666,108.39066666666668
2023,124.65883333333333,111.76816666666667,101.82058333333333,103.24025,111.68266666666666,107.28283333333333,108.432,113.67566666666666,102.99475,111.73,104.96050000000001,102.78566666666667,112.21941666666667
2024,129.105,116.219,101.88,106.07966666666665,112.524,109.91291666666666,111.90891666666666,119.17958333333333,105.08883333333334,112.48416666666667,105.88591666666666,106.50808333333333,115.33258333333333
2025,132.25766666666667,120.69,103.45975,108.78191666666667,113.332,110.84474999999999,115.84491666666666,124.30916666666667,107.24241666666667,113.08333333333333,106.322,113.08858333333335,118.41550000000001
