anyo,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas informáticas,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,TOTAL INFRACCIONES PENALES
2018,153525.0,1008.0,227.0,78214.0,71414.0,2889.0,18781.0,193.0,6776.0,92985.0,11347.0,81638.0,10674.0,6224.0,2318.0,206.0,668.0,1258.0,7089.0,281008.0,109908.0,40365.0,8272.0,12028.0,7005.0,16043.0,5996.0,1154.0,2954.0,10988.0,46091.0,15542.0,26845.0,2020.0,257.0,28491.0,59223.0,13140.0,44382.0,1701.0,14042.0,447.0,28851.0,673594.0
2019,159909.0,1090.0,254.0,79537.0,76160.0,3122.0,20350.0,259.0,7058.0,96246.0,11860.0,84386.0,11887.0,7022.0,2554.0,276.0,620.0,1415.0,6846.0,291270.0,111318.0,39704.0,8567.0,10775.0,7461.0,18196.0,6927.0,1181.0,3129.0,10981.0,49856.0,18712.0,28309.0,1573.0,265.0,31068.0,63291.0,15191.0,46622.0,1478.0,14629.0,327.0,30472.0,702544.0
2020,141869.0,1101.0,279.0,64416.0,73699.0,2653.0,28039.0,270.0,6686.0,94335.0,11329.0,83006.0,10293.0,5964.0,2364.0,242.0,450.0,1273.0,6397.0,233211.0,77262.0,31282.0,6103.0,10753.0,7570.0,14569.0,7998.0,1351.0,3558.0,8159.0,46601.0,25596.0,25708.0,792.0,287.0,28551.0,54163.0,14717.0,38210.0,1236.0,11492.0,231.0,29679.0,616665.0
2021,159540.0,1165.0,261.0,74813.0,80426.0,3136.0,25517.0,289.0,7117.0,104418.0,12617.0,91801.0,13253.0,8052.0,3128.0,239.0,502.0,1332.0,6970.0,260085.0,89799.0,31201.0,7742.0,10004.0,7145.0,16037.0,8999.0,1479.0,3644.0,7893.0,53765.0,32085.0,29943.0,1018.0,311.0,30118.0,61529.0,15631.0,44553.0,1345.0,14417.0,407.0,31841.0,685383.0
2022,181894.0,1384.0,319.0,86577.0,90267.0,3666.0,26520.0,287.0,7283.0,107702.0,13288.0,94414.0,14555.0,8980.0,3410.0,269.0,464.0,1432.0,7055.0,305922.0,113226.0,35668.0,9060.0,10927.0,8086.0,19040.0,10911.0,1492.0,4508.0,9325.0,63046.0,37607.0,31558.0,1068.0,367.0,32624.0,68559.0,16629.0,50252.0,1678.0,15190.0,363.0,35972.0,771302.0
2023,195302.0,1544.0,315.0,90444.0,98901.0,4413.0,27986.0,392.0,8178.0,120003.0,14705.0,105298.0,17064.0,10096.0,4052.0,269.0,670.0,1977.0,7043.0,343285.0,132759.0,40050.0,10438.0,11762.0,9411.0,21381.0,12405.0,1646.0,5101.0,10854.0,71284.0,47029.0,31896.0,1252.0,510.0,33299.0,70346.0,18947.0,49678.0,1721.0,15783.0,353.0,40110.0,845845.0
2024,203657.0,1483.0,326.0,94934.0,102055.0,5185.0,29122.0,396.0,8291.0,124308.0,14152.0,110156.0,18104.0,11006.0,4238.0,330.0,661.0,1869.0,7098.0,367561.0,144215.0,40805.0,11115.0,12110.0,9322.0,22479.0,12784.0,1893.0,5609.0,11813.0,75283.0,49860.0,34149.0,1621.0,800.0,36396.0,71202.0,19362.0,49542.0,2298.0,16469.0,376.0,41821.0,888405.0
