fecha_corte,anyo,mes,corte,ambito,pacientes_espera,tasa_por_1000_hab,tiempo_medio_espera_dias,pct_mas_6_meses,pct_mas_60_dias,contrastado_con_serie,fichero_origen,url_origen,aviso
2022-06-30,2022,6,junio 2022,consultas,,79.3,79.0,,49.3,no,LISTAS_PUBLICACION_jun2022.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2022.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2022-06-30,2022,6,junio 2022,quirurgica,742518.0,16.09,113.0,17.6,,no,LISTAS_PUBLICACION_jun2022.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2022.pdf,
2022-12-31,2022,12,diciembre 2022,consultas,,85.43,95.0,,55.7,si,LISTAS_PUBLICACION_dic_2022.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic_2022.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2022-12-31,2022,12,diciembre 2022,quirurgica,793521.0,17.1,120.0,20.8,,si,LISTAS_PUBLICACION_dic_2022.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic_2022.pdf,
2023-06-30,2023,6,junio 2023,consultas,,78.47,87.0,,51.6,si,LISTAS_PUBLICACION_jun2023.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2023.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2023-06-30,2023,6,junio 2023,quirurgica,819964.0,17.55,112.0,17.4,,si,LISTAS_PUBLICACION_jun2023.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2023.pdf,
2023-12-31,2023,12,diciembre 2023,consultas,,81.47,101.0,,56.3,si,LISTAS_PUBLICACION_dic2023.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic2023.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2023-12-31,2023,12,diciembre 2023,quirurgica,849535.0,18.11,128.0,24.3,,si,LISTAS_PUBLICACION_dic2023.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic2023.pdf,
2024-06-30,2024,6,junio 2024,consultas,,83.79,94.0,,54.6,si,LISTAS_PUBLICACION_jun2024.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2024.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2024-06-30,2024,6,junio 2024,quirurgica,848340.0,17.93,121.0,20.5,,si,LISTAS_PUBLICACION_jun2024.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2024.pdf,
2024-12-31,2024,12,diciembre 2024,consultas,,83.21,105.0,,62.3,si,LISTAS_PUBLICACION_dic2024.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic2024.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2024-12-31,2024,12,diciembre 2024,quirurgica,846583.0,17.8,126.0,22.9,,si,LISTAS_PUBLICACION_dic2024.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic2024.pdf,
2025-06-30,2025,6,junio 2025,consultas,,81.37,96.0,,61.8,si,LISTAS_PUBLICACION_jun25.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun25.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2025-06-30,2025,6,junio 2025,quirurgica,832728.0,17.35,,19.6,,si,LISTAS_PUBLICACION_jun25.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun25.pdf,"tiempo: páginas del informe discrepan (118.6, 119.0); la serie de contraste da 118; celda vacía"
2025-12-31,2025,12,diciembre 2025,consultas,,84.42,102.0,,61.5,si,LISTAS_PUBLICACION_Dic_2025.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_Dic_2025.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2025-12-31,2025,12,diciembre 2025,quirurgica,853509.0,17.69,121.0,21.6,,si,LISTAS_PUBLICACION_Dic_2025.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_Dic_2025.pdf,
