Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;103.175
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;104.988
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;101.084
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;87.774
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;54.633
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;108.637
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;102.474
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2024;81.094
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;84.721
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;86.515
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;75.501
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;72.380
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;98.326
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;107.166
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2024;31.439
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;35.072
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;31.552
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;27.198
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;31.237
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;32.363
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;33.129
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2024;62.976
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;64.711
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;63.392
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;53.073
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;45.263
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;65.874
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;60.295
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2024;42.764
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;44.406
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;43.100
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;35.726
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;30.162
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;25.916
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;24.681
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2024;3.934
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;3.844
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;3.669
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;3.477
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;3.208
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;3.223
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;3.233
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2024;8.553
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;8.238
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;8.210
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;6.663
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;6.138
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;5.609
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;5.355
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2024;32.965
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;32.839
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;30.767
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;26.417
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;25.387
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;35.105
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;35.897
TOTAL NACIONAL;5.5.-Estafas;2024;517.271
TOTAL NACIONAL;5.5.-Estafas;2023;533.379
TOTAL NACIONAL;5.5.-Estafas;2022;466.566
TOTAL NACIONAL;5.5.-Estafas;2021;373.113
TOTAL NACIONAL;5.5.-Estafas;2020;360.844
TOTAL NACIONAL;5.5.-Estafas;2019;327.723
TOTAL NACIONAL;5.5.-Estafas;2018;289.259
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2024;412.850
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2023;427.448
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2022;335.995
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2021;267.011
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2020;257.907
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2019;192.375
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2018;136.656
TOTAL NACIONAL;5.6.-Daños;2024;210.805
TOTAL NACIONAL;5.6.-Daños;2023;209.299
TOTAL NACIONAL;5.6.-Daños;2022;213.694
TOTAL NACIONAL;5.6.-Daños;2021;201.828
TOTAL NACIONAL;5.6.-Daños;2020;180.429
TOTAL NACIONAL;5.6.-Daños;2019;219.424
TOTAL NACIONAL;5.6.-Daños;2018;213.815
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2024;1.801
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2023;1.451
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2022;1.217
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2021;1.176
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2020;930
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2019;1.807
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2018;2.205
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2024;808
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2023;516
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2022;411
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2021;343
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2020;310
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2019;295
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2018;272
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2024;71.673
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2023;66.366
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2022;63.240
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2021;56.132
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2020;51.220
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2019;58.365
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2018;54.384
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2024;78.256
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2023;77.130
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2022;76.692
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2021;68.891
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2020;60.162
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2019;68.749
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2018;64.126
TOTAL NACIONAL;6.1.-Tráfico de drogas;2024;21.540
TOTAL NACIONAL;6.1.-Tráfico de drogas;2023;21.033
TOTAL NACIONAL;6.1.-Tráfico de drogas;2022;19.057
TOTAL NACIONAL;6.1.-Tráfico de drogas;2021;18.313
TOTAL NACIONAL;6.1.-Tráfico de drogas;2020;17.112
TOTAL NACIONAL;6.1.-Tráfico de drogas;2019;16.624
TOTAL NACIONAL;6.1.-Tráfico de drogas;2018;14.133
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2024;53.480
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2023;53.517
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2022;54.976
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2021;48.394
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2020;41.120
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2019;49.869
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2018;47.648
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2024;3.236
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2023;2.580
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2022;2.659
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2021;2.184
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2020;1.930
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2019;2.256
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2018;2.345
TOTAL NACIONAL;7. FALSEDADES;2024;45.715
TOTAL NACIONAL;7. FALSEDADES;2023;40.889
TOTAL NACIONAL;7. FALSEDADES;2022;37.717
TOTAL NACIONAL;7. FALSEDADES;2021;34.058
TOTAL NACIONAL;7. FALSEDADES;2020;24.020
TOTAL NACIONAL;7. FALSEDADES;2019;24.529
