Comunidades autónomas;Tipología penal;Sexo;Nacionalidad;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2024;3.380
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2023;3.548
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2022;3.561
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2021;3.245
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2020;2.718
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2019;2.823
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2018;2.544
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2024;1.056
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2023;903
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2022;918
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2021;858
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2020;751
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2019;717
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2018;617
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2024;4.436
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2023;4.451
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2022;4.479
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2021;4.103
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2020;3.469
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2019;3.540
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2018;3.161
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2024;1.055
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2023;1.187
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2022;1.157
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2021;1.154
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2020;924
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2019;880
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2018;851
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2024;190
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2023;185
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2022;176
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2021;136
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2020;124
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2019;122
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2018;103
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2024;1.245
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2023;1.372
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2022;1.333
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2021;1.290
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2020;1.048
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2019;1.002
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2018;954
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2024;4.435
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2023;4.735
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2022;4.718
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2021;4.399
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2020;3.642
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2019;3.703
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2018;3.395
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2024;1.246
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2023;1.088
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2022;1.094
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2021;994
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2020;875
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2019;839
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Extranjera;2018;720
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2024;5.681
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2023;5.823
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2022;5.812
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2021;5.393
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2020;4.517
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2019;4.542
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Total;2018;4.115
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2024;67
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2023;72
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2022;86
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2021;60
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2020;44
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2019;33
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Española;2018;34
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2024;39
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2023;20
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2022;31
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2021;22
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2020;16
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2019;13
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Extranjera;2018;6
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2024;106
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2023;92
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2022;117
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2021;82
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2020;60
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2019;46
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;Total;2018;40
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2024;11
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2023;3
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2022;5
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2021;7
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2020;3
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2019;5
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Española;2018;6
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2024;2
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2023;1
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2022;2
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2021;0
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2020;2
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2019;0
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Extranjera;2018;2
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2024;13
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2023;4
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2022;7
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2021;7
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2020;5
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2019;5
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;Total;2018;8
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2024;78
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2023;75
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2022;91
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2021;67
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2020;47
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2019;38
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Española;2018;40
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2024;41
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2023;21
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2022;33
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2021;22
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2020;18
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2019;13
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Extranjera;2018;8
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2024;119
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2023;96
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2022;124
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2021;89
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2020;65
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2019;51
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;Total;2018;48
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2024;13
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2023;14
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2022;23
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2021;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2020;14
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2019;7
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Española;2018;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2024;4
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2023;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2022;2
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2021;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2020;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2019;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Extranjera;2018;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2024;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2023;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2022;25
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2021;20
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2020;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2019;10
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;Total;2018;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2024;5
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2023;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2022;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2021;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2020;2
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2019;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Española;2018;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2024;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2023;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2022;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2021;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2020;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2019;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Extranjera;2018;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2024;5
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2023;0
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2022;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2021;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2020;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2019;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;Total;2018;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2024;18
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2023;14
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2022;23
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2021;20
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2020;16
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2019;8
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Española;2018;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2024;4
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2023;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2022;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2021;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2020;4
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2019;3
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Extranjera;2018;1
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2024;22
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2023;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2022;26
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2021;23
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2020;20
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2019;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;Total;2018;18
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2024;2.018
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2023;2.188
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2022;2.132
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2021;1.876
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2020;1.431
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2019;1.525
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Española;2018;1.314
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2024;634
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2023;597
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2022;608
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2021;600
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2020;467
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2019;476
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Extranjera;2018;404
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2024;2.652
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2023;2.785
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2022;2.740
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2021;2.476
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2020;1.898
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2019;2.001
TOTAL NACIONAL;1.2.-Lesiones;Masculino;Total;2018;1.718
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2024;675
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2023;719
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2022;685
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2021;685
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2020;507
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2019;510
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Española;2018;492
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2024;113
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2023;124
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2022;122
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2021;90
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2020;70
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2019;75
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Extranjera;2018;68
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2024;788
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2023;843
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2022;807
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2021;775
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2020;577
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2019;585
TOTAL NACIONAL;1.2.-Lesiones;Femenino;Total;2018;560
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2024;2.693
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2023;2.907
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2022;2.817
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2021;2.561
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2020;1.938
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2019;2.035
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Española;2018;1.806
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2024;747
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2023;721
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2022;730
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2021;690
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2020;537
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2019;551
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Extranjera;2018;472
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2024;3.440
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2023;3.628
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2022;3.547
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2021;3.251
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2020;2.475
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2019;2.586
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;Total;2018;2.278
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2024;1.134
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2023;1.114
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2022;1.178
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2021;1.141
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2020;1.112
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2019;1.150
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Española;2018;1.109
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2024;269
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2023;205
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2022;198
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2021;167
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2020;193
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2019;186
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Extranjera;2018;166
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2024;1.403
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2023;1.319
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2022;1.376
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2021;1.308
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2020;1.305
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2019;1.336
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;Total;2018;1.275
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2024;342
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2023;421
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2022;432
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2021;428
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2020;391
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2019;334
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Española;2018;333
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2024;69
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2023;51
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2022;43
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2021;45
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2020;48
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2019;44
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Extranjera;2018;30
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2024;411
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2023;472
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2022;475
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2021;473
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2020;439
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2019;378
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;Total;2018;363
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2024;1.476
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2023;1.535
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2022;1.610
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2021;1.569
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2020;1.503
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2019;1.484
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;Española;2018;1.442
