Comunidades autónomas;Tipología penal;Sexo;periodo;Total
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Masculino;2022;70
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Masculino;2021;58
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Masculino;2020;62
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Masculino;2019;70
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Masculino;2018;53
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2024;5
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2023;4
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2022;6
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2021;6
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2020;12
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2019;5
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Femenino;2018;7
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2024;69
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2023;81
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2022;76
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2021;64
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2020;74
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2019;75
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2018;60
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2024;20
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2023;23
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2022;23
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2021;23
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2020;20
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2019;33
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2018;26
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2024;5
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2023;1
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2022;1
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2021;4
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2020;2
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2019;1
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2018;3
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2024;25
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2023;24
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2022;24
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2021;27
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2020;22
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2019;34
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2018;29
ANDALUCÍA;1.2.-Lesiones;Masculino;2024;1.730
ANDALUCÍA;1.2.-Lesiones;Masculino;2023;1.511
ANDALUCÍA;1.2.-Lesiones;Masculino;2022;1.433
ANDALUCÍA;1.2.-Lesiones;Masculino;2021;1.365
ANDALUCÍA;1.2.-Lesiones;Masculino;2020;1.155
ANDALUCÍA;1.2.-Lesiones;Masculino;2019;1.362
ANDALUCÍA;1.2.-Lesiones;Masculino;2018;1.245
ANDALUCÍA;1.2.-Lesiones;Femenino;2024;472
ANDALUCÍA;1.2.-Lesiones;Femenino;2023;384
ANDALUCÍA;1.2.-Lesiones;Femenino;2022;413
ANDALUCÍA;1.2.-Lesiones;Femenino;2021;352
ANDALUCÍA;1.2.-Lesiones;Femenino;2020;334
ANDALUCÍA;1.2.-Lesiones;Femenino;2019;415
ANDALUCÍA;1.2.-Lesiones;Femenino;2018;351
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2024;2.202
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2023;1.895
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2022;1.846
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2021;1.717
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2020;1.489
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2019;1.777
ANDALUCÍA;1.2.-Lesiones;Ambos sexos;2018;1.596
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2024;3.117
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2023;2.831
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2022;2.636
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2021;2.205
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2020;2.182
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2019;2.273
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Masculino;2018;2.053
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2024;349
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2023;315
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2022;262
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2021;268
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2020;209
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2019;247
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Femenino;2018;176
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2024;3.466
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2023;3.146
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2022;2.898
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2021;2.473
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2020;2.391
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2019;2.520
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;Ambos sexos;2018;2.229
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2024;85
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2023;106
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2022;57
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2021;60
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2020;62
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2019;42
ANDALUCÍA;1.4.-Otros contra las personas;Masculino;2018;43
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2024;17
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2023;19
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2022;17
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2021;17
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2020;6
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2019;9
ANDALUCÍA;1.4.-Otros contra las personas;Femenino;2018;6
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2024;102
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2023;125
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2022;74
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2021;77
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2020;68
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2019;51
ANDALUCÍA;1.4.-Otros contra las personas;Ambos sexos;2018;49
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2024;1.717
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2023;1.635
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2022;1.324
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2021;1.279
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2020;1.157
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2019;1.126
ANDALUCÍA;2. CONTRA LA LIBERTAD;Masculino;2018;1.235
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2024;302
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2023;332
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2022;295
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2021;248
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2020;253
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2019;261
ANDALUCÍA;2. CONTRA LA LIBERTAD;Femenino;2018;228
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2024;2.019
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2023;1.967
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2022;1.619
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2021;1.527
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2020;1.410
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2019;1.387
ANDALUCÍA;2. CONTRA LA LIBERTAD;Ambos sexos;2018;1.463
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2024;440
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2023;440
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2022;387
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2021;385
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2020;362
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2019;344
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2018;365
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2024;18
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2023;29
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2022;31
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2021;20
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2020;24
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2019;19
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2018;16
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2024;458
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2023;469
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2022;418
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2021;405
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2020;386
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2019;363
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2018;381
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2024;1.277
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2023;1.195
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2022;937
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2021;894
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2020;795
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2019;782
ANDALUCÍA;2.2.-Otros contra la libertad;Masculino;2018;870
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2024;284
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2023;303
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2022;264
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2021;228
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2020;229
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2019;242
ANDALUCÍA;2.2.-Otros contra la libertad;Femenino;2018;212
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2024;1.561
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2023;1.498
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2022;1.201
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2021;1.122
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2020;1.024
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2019;1.024
ANDALUCÍA;2.2.-Otros contra la libertad;Ambos sexos;2018;1.082
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2024;608
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2023;557
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2022;447
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2021;454
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2020;354
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2019;394
ANDALUCÍA;3. LIBERTAD SEXUAL;Masculino;2018;381
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2024;41
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2023;49
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2022;17
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2021;44
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2020;24
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2019;20
ANDALUCÍA;3. LIBERTAD SEXUAL;Femenino;2018;24
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2024;649
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2023;606
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2022;464
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2021;498
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2020;378
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2019;414
ANDALUCÍA;3. LIBERTAD SEXUAL;Ambos sexos;2018;405
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2024;407
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2023;340
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2022;290
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2021;270
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2020;213
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2019;247
ANDALUCÍA;3.1.-Agresión sexual;Masculino;2018;250
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2024;5
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2023;2
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2022;3
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2021;6
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2020;5
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2019;3
ANDALUCÍA;3.1.-Agresión sexual;Femenino;2018;3
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2024;412
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2023;342
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2022;293
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2021;276
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2020;218
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2019;250
ANDALUCÍA;3.1.-Agresión sexual;Ambos sexos;2018;253
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2024;135
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2023;140
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2022;113
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2021;103
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2020;83
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2019;74
ANDALUCÍA;3.2.-Agresión sexual con penetración;Masculino;2018;84
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2024;4
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2023;3
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2022;1
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2021;3
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2020;2
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2019;0
ANDALUCÍA;3.2.-Agresión sexual con penetración;Femenino;2018;0
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2024;139
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2023;143
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2022;114
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2021;106
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2020;85
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2019;74
ANDALUCÍA;3.2.-Agresión sexual con penetración;Ambos sexos;2018;84
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2024;3
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2023;1
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2022;4
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2021;8
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2020;6
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2019;3
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Masculino;2018;3
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2024;1
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2023;0
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2022;1
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2021;2
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2020;1
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2019;0
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Femenino;2018;0
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2024;4
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2023;1
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2022;5
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2021;10
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2020;7
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2019;3
ANDALUCÍA;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2018;3
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2024;12
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2023;15
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2022;5
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2021;10
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2020;3
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2019;7
ANDALUCÍA;3.4.-Pornografía de menores;Masculino;2018;13
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2024;0
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2023;0
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2022;0
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2021;1
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2020;1
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2019;2
ANDALUCÍA;3.4.-Pornografía de menores;Femenino;2018;0
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2024;12
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2023;15
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2022;5
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2021;11
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2020;4
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2019;9
ANDALUCÍA;3.4.-Pornografía de menores;Ambos sexos;2018;13
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2024;51
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2023;61
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2022;35
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2021;63
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2020;49
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2019;63
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Masculino;2018;31
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2024;31
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2023;44
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2022;12
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2021;32
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2020;15
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2019;15
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Femenino;2018;21
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2024;82
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2023;105
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2022;47
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2021;95
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2020;64
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2019;78
ANDALUCÍA;3.5.-Otros contra la libertad sexual;Ambos sexos;2018;52
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2024;52
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2023;39
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2022;38
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2021;29
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2020;29
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2019;39
ANDALUCÍA;4. RELACIONES FAMILIARES;Masculino;2018;48
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2024;34
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2023;44
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2022;24
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2021;23
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2020;9
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2019;17
ANDALUCÍA;4. RELACIONES FAMILIARES;Femenino;2018;27
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2024;86
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2023;83
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2022;62
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2021;52
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2020;38
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2019;56
ANDALUCÍA;4. RELACIONES FAMILIARES;Ambos sexos;2018;75
ANDALUCÍA;5. PATRIMONIO;Masculino;2024;6.430
ANDALUCÍA;5. PATRIMONIO;Masculino;2023;6.292
ANDALUCÍA;5. PATRIMONIO;Masculino;2022;5.329
ANDALUCÍA;5. PATRIMONIO;Masculino;2021;4.342
ANDALUCÍA;5. PATRIMONIO;Masculino;2020;3.910
ANDALUCÍA;5. PATRIMONIO;Masculino;2019;4.512
ANDALUCÍA;5. PATRIMONIO;Masculino;2018;4.630
ANDALUCÍA;5. PATRIMONIO;Femenino;2024;1.526
ANDALUCÍA;5. PATRIMONIO;Femenino;2023;1.471
ANDALUCÍA;5. PATRIMONIO;Femenino;2022;1.204
ANDALUCÍA;5. PATRIMONIO;Femenino;2021;942
ANDALUCÍA;5. PATRIMONIO;Femenino;2020;874
ANDALUCÍA;5. PATRIMONIO;Femenino;2019;1.205
ANDALUCÍA;5. PATRIMONIO;Femenino;2018;1.254
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2024;7.956
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2023;7.763
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2022;6.533
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2021;5.284
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2020;4.784
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2019;5.717
ANDALUCÍA;5. PATRIMONIO;Ambos sexos;2018;5.884
ANDALUCÍA;5.1.-Hurtos;Masculino;2024;2.335
ANDALUCÍA;5.1.-Hurtos;Masculino;2023;2.346
ANDALUCÍA;5.1.-Hurtos;Masculino;2022;1.738
ANDALUCÍA;5.1.-Hurtos;Masculino;2021;1.313
ANDALUCÍA;5.1.-Hurtos;Masculino;2020;1.028
ANDALUCÍA;5.1.-Hurtos;Masculino;2019;1.438
ANDALUCÍA;5.1.-Hurtos;Masculino;2018;1.520
ANDALUCÍA;5.1.-Hurtos;Femenino;2024;928
ANDALUCÍA;5.1.-Hurtos;Femenino;2023;862
ANDALUCÍA;5.1.-Hurtos;Femenino;2022;663
ANDALUCÍA;5.1.-Hurtos;Femenino;2021;454
ANDALUCÍA;5.1.-Hurtos;Femenino;2020;432
ANDALUCÍA;5.1.-Hurtos;Femenino;2019;707
ANDALUCÍA;5.1.-Hurtos;Femenino;2018;785
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2024;3.263
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2023;3.208
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2022;2.401
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2021;1.767
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2020;1.460
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2019;2.145
ANDALUCÍA;5.1.-Hurtos;Ambos sexos;2018;2.305
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2024;1.144
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2023;1.319
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2022;1.161
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2021;1.045
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2020;1.092
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2019;938
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Masculino;2018;867
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Femenino;2024;62
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Femenino;2023;80
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Femenino;2022;91
ANDALUCÍA;5.2.-Robos con fuerza en las cosas;Femenino;2021;81
