Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2019;99
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2018;93
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2024;12.402
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2023;11.103
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2022;10.683
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2021;9.072
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2020;7.534
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2019;6.528
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2018;5.842
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2024;2.732
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2023;2.435
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2022;2.450
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2021;1.889
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2020;1.766
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2019;1.463
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2018;1.330
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2024;15.134
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2023;13.538
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2022;13.133
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2021;10.961
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2020;9.300
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2019;7.991
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2018;7.172
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2024;25.536
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2023;23.533
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2022;21.083
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2021;17.587
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2020;15.998
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2019;14.493
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2018;13.120
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2024;4.894
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2023;4.273
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2022;3.604
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2021;2.976
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2020;2.597
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2019;1.923
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2018;1.494
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2024;30.430
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2023;27.806
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2022;24.687
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2021;20.563
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2020;18.595
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2019;16.416
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2018;14.614
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2024;1.254
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2023;1.092
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2022;825
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2021;747
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2020;578
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2019;424
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2018;375
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2024;224
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2023;212
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2022;149
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2021;125
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2020;90
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2019;65
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2018;74
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2024;1.478
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2023;1.304
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2022;974
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2021;872
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2020;668
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2019;489
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2018;449
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2024;14.459
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2023;13.082
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2022;11.242
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2021;10.240
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2020;8.958
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2019;6.779
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2018;5.964
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2024;2.642
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2023;2.504
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2022;2.186
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2021;1.963
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2020;1.785
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2019;1.240
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2018;1.197
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2024;17.101
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2023;15.586
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2022;13.428
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2021;12.203
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2020;10.743
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2019;8.019
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2018;7.161
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2024;3.121
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2023;3.201
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2022;2.788
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2021;2.535
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2020;2.384
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2019;2.212
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2018;1.920
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2024;327
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2023;364
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2022;274
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2021;249
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2020;214
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2019;184
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2018;174
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2024;3.448
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2023;3.565
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2022;3.062
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2021;2.784
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2020;2.598
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2019;2.396
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2018;2.094
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2024;11.338
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2023;9.881
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2022;8.454
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2021;7.705
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2020;6.574
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2019;4.567
TOTAL NACIONAL;2.2.-Otros contra la libertad;Masculino;2018;4.044
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2024;2.315
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2023;2.140
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2022;1.912
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2021;1.714
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2020;1.571
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2019;1.056
TOTAL NACIONAL;2.2.-Otros contra la libertad;Femenino;2018;1.023
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2024;13.653
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2023;12.021
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2022;10.366
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2021;9.419
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2020;8.145
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2019;5.623
TOTAL NACIONAL;2.2.-Otros contra la libertad;Ambos sexos;2018;5.067
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2024;5.281
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2023;4.782
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2022;3.963
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2021;3.470
