Comunidades autónomas;Nacionalidad;Sexo;periodo;Total
CANARIAS;4.10.-Rusia;Femenino;2018;18
CANARIAS;4.10.-Rusia;Ambos sexos;2024;58
CANARIAS;4.10.-Rusia;Ambos sexos;2023;40
CANARIAS;4.10.-Rusia;Ambos sexos;2022;52
CANARIAS;4.10.-Rusia;Ambos sexos;2021;46
CANARIAS;4.10.-Rusia;Ambos sexos;2020;40
CANARIAS;4.10.-Rusia;Ambos sexos;2019;49
CANARIAS;4.10.-Rusia;Ambos sexos;2018;64
CANARIAS;4.11.-Lituania;Masculino;2024;36
CANARIAS;4.11.-Lituania;Masculino;2023;35
CANARIAS;4.11.-Lituania;Masculino;2022;27
CANARIAS;4.11.-Lituania;Masculino;2021;17
CANARIAS;4.11.-Lituania;Masculino;2020;14
CANARIAS;4.11.-Lituania;Masculino;2019;17
CANARIAS;4.11.-Lituania;Masculino;2018;33
CANARIAS;4.11.-Lituania;Femenino;2024;2
CANARIAS;4.11.-Lituania;Femenino;2023;4
CANARIAS;4.11.-Lituania;Femenino;2022;4
CANARIAS;4.11.-Lituania;Femenino;2021;5
CANARIAS;4.11.-Lituania;Femenino;2020;2
CANARIAS;4.11.-Lituania;Femenino;2019;8
CANARIAS;4.11.-Lituania;Femenino;2018;4
CANARIAS;4.11.-Lituania;Ambos sexos;2024;38
CANARIAS;4.11.-Lituania;Ambos sexos;2023;39
CANARIAS;4.11.-Lituania;Ambos sexos;2022;31
CANARIAS;4.11.-Lituania;Ambos sexos;2021;22
CANARIAS;4.11.-Lituania;Ambos sexos;2020;16
CANARIAS;4.11.-Lituania;Ambos sexos;2019;25
CANARIAS;4.11.-Lituania;Ambos sexos;2018;37
CANARIAS;4.12.-Holanda;Masculino;2024;42
CANARIAS;4.12.-Holanda;Masculino;2023;32
CANARIAS;4.12.-Holanda;Masculino;2022;37
CANARIAS;4.12.-Holanda;Masculino;2021;33
CANARIAS;4.12.-Holanda;Masculino;2020;38
CANARIAS;4.12.-Holanda;Masculino;2019;40
CANARIAS;4.12.-Holanda;Masculino;2018;36
CANARIAS;4.12.-Holanda;Femenino;2024;3
CANARIAS;4.12.-Holanda;Femenino;2023;2
CANARIAS;4.12.-Holanda;Femenino;2022;7
CANARIAS;4.12.-Holanda;Femenino;2021;6
CANARIAS;4.12.-Holanda;Femenino;2020;5
CANARIAS;4.12.-Holanda;Femenino;2019;5
CANARIAS;4.12.-Holanda;Femenino;2018;8
CANARIAS;4.12.-Holanda;Ambos sexos;2024;45
CANARIAS;4.12.-Holanda;Ambos sexos;2023;34
CANARIAS;4.12.-Holanda;Ambos sexos;2022;44
CANARIAS;4.12.-Holanda;Ambos sexos;2021;39
CANARIAS;4.12.-Holanda;Ambos sexos;2020;43
CANARIAS;4.12.-Holanda;Ambos sexos;2019;45
CANARIAS;4.12.-Holanda;Ambos sexos;2018;44
CANARIAS;4.13.-Bélgica;Masculino;2024;77
CANARIAS;4.13.-Bélgica;Masculino;2023;87
CANARIAS;4.13.-Bélgica;Masculino;2022;51
CANARIAS;4.13.-Bélgica;Masculino;2021;44
CANARIAS;4.13.-Bélgica;Masculino;2020;55
CANARIAS;4.13.-Bélgica;Masculino;2019;66
CANARIAS;4.13.-Bélgica;Masculino;2018;58
CANARIAS;4.13.-Bélgica;Femenino;2024;8
CANARIAS;4.13.-Bélgica;Femenino;2023;18
CANARIAS;4.13.-Bélgica;Femenino;2022;13
CANARIAS;4.13.-Bélgica;Femenino;2021;8
CANARIAS;4.13.-Bélgica;Femenino;2020;3
CANARIAS;4.13.-Bélgica;Femenino;2019;14
CANARIAS;4.13.-Bélgica;Femenino;2018;15
CANARIAS;4.13.-Bélgica;Ambos sexos;2024;85
CANARIAS;4.13.-Bélgica;Ambos sexos;2023;105
CANARIAS;4.13.-Bélgica;Ambos sexos;2022;64
CANARIAS;4.13.-Bélgica;Ambos sexos;2021;52
CANARIAS;4.13.-Bélgica;Ambos sexos;2020;58
CANARIAS;4.13.-Bélgica;Ambos sexos;2019;80
CANARIAS;4.13.-Bélgica;Ambos sexos;2018;73
CANARIAS;4.14.-Resto de Europa;Masculino;2024;424
CANARIAS;4.14.-Resto de Europa;Masculino;2023;332
CANARIAS;4.14.-Resto de Europa;Masculino;2022;317
CANARIAS;4.14.-Resto de Europa;Masculino;2021;307
CANARIAS;4.14.-Resto de Europa;Masculino;2020;255
CANARIAS;4.14.-Resto de Europa;Masculino;2019;529
CANARIAS;4.14.-Resto de Europa;Masculino;2018;366
CANARIAS;4.14.-Resto de Europa;Femenino;2024;60
CANARIAS;4.14.-Resto de Europa;Femenino;2023;49
CANARIAS;4.14.-Resto de Europa;Femenino;2022;61
CANARIAS;4.14.-Resto de Europa;Femenino;2021;39
CANARIAS;4.14.-Resto de Europa;Femenino;2020;46
CANARIAS;4.14.-Resto de Europa;Femenino;2019;81
CANARIAS;4.14.-Resto de Europa;Femenino;2018;84
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2024;484
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2023;381
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2022;378
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2021;346
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2020;301
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2019;610
CANARIAS;4.14.-Resto de Europa;Ambos sexos;2018;450
CANARIAS;5.-OCEANÍA;Masculino;2024;1
CANARIAS;5.-OCEANÍA;Masculino;2023;4
CANARIAS;5.-OCEANÍA;Masculino;2022;0
CANARIAS;5.-OCEANÍA;Masculino;2021;2
CANARIAS;5.-OCEANÍA;Masculino;2020;1
CANARIAS;5.-OCEANÍA;Masculino;2019;0
CANARIAS;5.-OCEANÍA;Masculino;2018;1
CANARIAS;5.-OCEANÍA;Femenino;2024;0
CANARIAS;5.-OCEANÍA;Femenino;2023;0
CANARIAS;5.-OCEANÍA;Femenino;2022;0
CANARIAS;5.-OCEANÍA;Femenino;2021;1
CANARIAS;5.-OCEANÍA;Femenino;2020;0
CANARIAS;5.-OCEANÍA;Femenino;2019;1
CANARIAS;5.-OCEANÍA;Femenino;2018;1
CANARIAS;5.-OCEANÍA;Ambos sexos;2024;1
CANARIAS;5.-OCEANÍA;Ambos sexos;2023;4
CANARIAS;5.-OCEANÍA;Ambos sexos;2022;0
CANARIAS;5.-OCEANÍA;Ambos sexos;2021;3
CANARIAS;5.-OCEANÍA;Ambos sexos;2020;1
CANARIAS;5.-OCEANÍA;Ambos sexos;2019;1
CANARIAS;5.-OCEANÍA;Ambos sexos;2018;2
CANARIAS;6.-OTROS;Masculino;2024;8
CANARIAS;6.-OTROS;Masculino;2023;13
CANARIAS;6.-OTROS;Masculino;2022;4
CANARIAS;6.-OTROS;Masculino;2021;5
CANARIAS;6.-OTROS;Masculino;2020;6
CANARIAS;6.-OTROS;Masculino;2019;9
CANARIAS;6.-OTROS;Masculino;2018;10
CANARIAS;6.-OTROS;Femenino;2024;2
CANARIAS;6.-OTROS;Femenino;2023;2
CANARIAS;6.-OTROS;Femenino;2022;0
CANARIAS;6.-OTROS;Femenino;2021;0
CANARIAS;6.-OTROS;Femenino;2020;0
CANARIAS;6.-OTROS;Femenino;2019;1
CANARIAS;6.-OTROS;Femenino;2018;2
CANARIAS;6.-OTROS;Ambos sexos;2024;10
CANARIAS;6.-OTROS;Ambos sexos;2023;15
CANARIAS;6.-OTROS;Ambos sexos;2022;4
CANARIAS;6.-OTROS;Ambos sexos;2021;5
CANARIAS;6.-OTROS;Ambos sexos;2020;6
CANARIAS;6.-OTROS;Ambos sexos;2019;10
CANARIAS;6.-OTROS;Ambos sexos;2018;12
CANARIAS;TOTAL;Masculino;2024;6.382
CANARIAS;TOTAL;Masculino;2023;5.941
CANARIAS;TOTAL;Masculino;2022;5.151
CANARIAS;TOTAL;Masculino;2021;5.094
CANARIAS;TOTAL;Masculino;2020;4.321
CANARIAS;TOTAL;Masculino;2019;4.787
CANARIAS;TOTAL;Masculino;2018;4.366
CANARIAS;TOTAL;Femenino;2024;799
CANARIAS;TOTAL;Femenino;2023;756
CANARIAS;TOTAL;Femenino;2022;738
CANARIAS;TOTAL;Femenino;2021;590
CANARIAS;TOTAL;Femenino;2020;650
CANARIAS;TOTAL;Femenino;2019;881
CANARIAS;TOTAL;Femenino;2018;794
CANARIAS;TOTAL;Ambos sexos;2024;7.181
CANARIAS;TOTAL;Ambos sexos;2023;6.697
CANARIAS;TOTAL;Ambos sexos;2022;5.889
CANARIAS;TOTAL;Ambos sexos;2021;5.684
CANARIAS;TOTAL;Ambos sexos;2020;4.971
CANARIAS;TOTAL;Ambos sexos;2019;5.668
CANARIAS;TOTAL;Ambos sexos;2018;5.160
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2024;160
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2023;152
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2022;255
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2021;163
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2020;143
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2019;172
CANTABRIA;1.-CONTINENTE AFRICANO;Masculino;2018;144
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2024;6
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2023;8
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2022;8
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2021;17
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2020;11
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2019;8
CANTABRIA;1.-CONTINENTE AFRICANO;Femenino;2018;12
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2024;166
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2023;160
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2022;263
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2021;180
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2020;154
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2019;180
CANTABRIA;1.-CONTINENTE AFRICANO;Ambos sexos;2018;156
CANTABRIA;1.01.-Marruecos;Masculino;2024;104
CANTABRIA;1.01.-Marruecos;Masculino;2023;80
CANTABRIA;1.01.-Marruecos;Masculino;2022;181
CANTABRIA;1.01.-Marruecos;Masculino;2021;100
CANTABRIA;1.01.-Marruecos;Masculino;2020;107
CANTABRIA;1.01.-Marruecos;Masculino;2019;106
CANTABRIA;1.01.-Marruecos;Masculino;2018;88
CANTABRIA;1.01.-Marruecos;Femenino;2024;3
CANTABRIA;1.01.-Marruecos;Femenino;2023;5
CANTABRIA;1.01.-Marruecos;Femenino;2022;3
CANTABRIA;1.01.-Marruecos;Femenino;2021;9
CANTABRIA;1.01.-Marruecos;Femenino;2020;2
CANTABRIA;1.01.-Marruecos;Femenino;2019;1
CANTABRIA;1.01.-Marruecos;Femenino;2018;3
CANTABRIA;1.01.-Marruecos;Ambos sexos;2024;107
CANTABRIA;1.01.-Marruecos;Ambos sexos;2023;85
CANTABRIA;1.01.-Marruecos;Ambos sexos;2022;184
CANTABRIA;1.01.-Marruecos;Ambos sexos;2021;109
CANTABRIA;1.01.-Marruecos;Ambos sexos;2020;109
CANTABRIA;1.01.-Marruecos;Ambos sexos;2019;107
CANTABRIA;1.01.-Marruecos;Ambos sexos;2018;91
CANTABRIA;1.02.-Argelia;Masculino;2024;14
CANTABRIA;1.02.-Argelia;Masculino;2023;17
CANTABRIA;1.02.-Argelia;Masculino;2022;19
CANTABRIA;1.02.-Argelia;Masculino;2021;11
CANTABRIA;1.02.-Argelia;Masculino;2020;11
CANTABRIA;1.02.-Argelia;Masculino;2019;15
CANTABRIA;1.02.-Argelia;Masculino;2018;7
CANTABRIA;1.02.-Argelia;Femenino;2024;0
CANTABRIA;1.02.-Argelia;Femenino;2023;0
CANTABRIA;1.02.-Argelia;Femenino;2022;1
CANTABRIA;1.02.-Argelia;Femenino;2021;4
CANTABRIA;1.02.-Argelia;Femenino;2020;1
CANTABRIA;1.02.-Argelia;Femenino;2019;1
CANTABRIA;1.02.-Argelia;Femenino;2018;0
CANTABRIA;1.02.-Argelia;Ambos sexos;2024;14
CANTABRIA;1.02.-Argelia;Ambos sexos;2023;17
CANTABRIA;1.02.-Argelia;Ambos sexos;2022;20
CANTABRIA;1.02.-Argelia;Ambos sexos;2021;15
CANTABRIA;1.02.-Argelia;Ambos sexos;2020;12
CANTABRIA;1.02.-Argelia;Ambos sexos;2019;16
CANTABRIA;1.02.-Argelia;Ambos sexos;2018;7
CANTABRIA;1.03.-Senegal;Masculino;2024;6
CANTABRIA;1.03.-Senegal;Masculino;2023;15
CANTABRIA;1.03.-Senegal;Masculino;2022;17
CANTABRIA;1.03.-Senegal;Masculino;2021;18
CANTABRIA;1.03.-Senegal;Masculino;2020;9
CANTABRIA;1.03.-Senegal;Masculino;2019;14
CANTABRIA;1.03.-Senegal;Masculino;2018;18
CANTABRIA;1.03.-Senegal;Femenino;2024;0
CANTABRIA;1.03.-Senegal;Femenino;2023;1
CANTABRIA;1.03.-Senegal;Femenino;2022;2
CANTABRIA;1.03.-Senegal;Femenino;2021;0
CANTABRIA;1.03.-Senegal;Femenino;2020;0
CANTABRIA;1.03.-Senegal;Femenino;2019;1
CANTABRIA;1.03.-Senegal;Femenino;2018;0
CANTABRIA;1.03.-Senegal;Ambos sexos;2024;6
CANTABRIA;1.03.-Senegal;Ambos sexos;2023;16
CANTABRIA;1.03.-Senegal;Ambos sexos;2022;19
CANTABRIA;1.03.-Senegal;Ambos sexos;2021;18
CANTABRIA;1.03.-Senegal;Ambos sexos;2020;9
CANTABRIA;1.03.-Senegal;Ambos sexos;2019;15
CANTABRIA;1.03.-Senegal;Ambos sexos;2018;18
CANTABRIA;1.04.-Nigeria;Masculino;2024;2
CANTABRIA;1.04.-Nigeria;Masculino;2023;7
CANTABRIA;1.04.-Nigeria;Masculino;2022;6
CANTABRIA;1.04.-Nigeria;Masculino;2021;7
CANTABRIA;1.04.-Nigeria;Masculino;2020;3
CANTABRIA;1.04.-Nigeria;Masculino;2019;0
CANTABRIA;1.04.-Nigeria;Masculino;2018;5
CANTABRIA;1.04.-Nigeria;Femenino;2024;0
CANTABRIA;1.04.-Nigeria;Femenino;2023;0
CANTABRIA;1.04.-Nigeria;Femenino;2022;0
CANTABRIA;1.04.-Nigeria;Femenino;2021;2
CANTABRIA;1.04.-Nigeria;Femenino;2020;3
CANTABRIA;1.04.-Nigeria;Femenino;2019;2
CANTABRIA;1.04.-Nigeria;Femenino;2018;7
CANTABRIA;1.04.-Nigeria;Ambos sexos;2024;2
CANTABRIA;1.04.-Nigeria;Ambos sexos;2023;7
CANTABRIA;1.04.-Nigeria;Ambos sexos;2022;6
CANTABRIA;1.04.-Nigeria;Ambos sexos;2021;9
CANTABRIA;1.04.-Nigeria;Ambos sexos;2020;6
CANTABRIA;1.04.-Nigeria;Ambos sexos;2019;2
CANTABRIA;1.04.-Nigeria;Ambos sexos;2018;12
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2024;2
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2023;0
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2022;0
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2021;1
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2020;1
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2019;1
CANTABRIA;1.05.-Guinea Ecuatorial;Masculino;2018;0
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2024;0
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2023;2
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2022;1
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2021;1
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2020;4
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2019;1
CANTABRIA;1.05.-Guinea Ecuatorial;Femenino;2018;0
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2024;2
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2023;2
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2022;1
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2021;2
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2020;5
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2019;2
CANTABRIA;1.05.-Guinea Ecuatorial;Ambos sexos;2018;0
CANTABRIA;1.06.-Ghana;Masculino;2024;2
CANTABRIA;1.06.-Ghana;Masculino;2023;2
CANTABRIA;1.06.-Ghana;Masculino;2022;4
CANTABRIA;1.06.-Ghana;Masculino;2021;0
CANTABRIA;1.06.-Ghana;Masculino;2020;2
CANTABRIA;1.06.-Ghana;Masculino;2019;8
CANTABRIA;1.06.-Ghana;Masculino;2018;6
CANTABRIA;1.06.-Ghana;Femenino;2024;0
CANTABRIA;1.06.-Ghana;Femenino;2023;0
CANTABRIA;1.06.-Ghana;Femenino;2022;0
CANTABRIA;1.06.-Ghana;Femenino;2021;0
CANTABRIA;1.06.-Ghana;Femenino;2020;0
CANTABRIA;1.06.-Ghana;Femenino;2019;0
CANTABRIA;1.06.-Ghana;Femenino;2018;0
CANTABRIA;1.06.-Ghana;Ambos sexos;2024;2
CANTABRIA;1.06.-Ghana;Ambos sexos;2023;2
CANTABRIA;1.06.-Ghana;Ambos sexos;2022;4
CANTABRIA;1.06.-Ghana;Ambos sexos;2021;0
CANTABRIA;1.06.-Ghana;Ambos sexos;2020;2
CANTABRIA;1.06.-Ghana;Ambos sexos;2019;8
CANTABRIA;1.06.-Ghana;Ambos sexos;2018;6
CANTABRIA;1.07.-Mali;Masculino;2024;2
CANTABRIA;1.07.-Mali;Masculino;2023;2
CANTABRIA;1.07.-Mali;Masculino;2022;1
CANTABRIA;1.07.-Mali;Masculino;2021;1
CANTABRIA;1.07.-Mali;Masculino;2020;0
CANTABRIA;1.07.-Mali;Masculino;2019;2
CANTABRIA;1.07.-Mali;Masculino;2018;1
CANTABRIA;1.07.-Mali;Femenino;2024;0
CANTABRIA;1.07.-Mali;Femenino;2023;0
CANTABRIA;1.07.-Mali;Femenino;2022;0
CANTABRIA;1.07.-Mali;Femenino;2021;0
CANTABRIA;1.07.-Mali;Femenino;2020;0
CANTABRIA;1.07.-Mali;Femenino;2019;0
CANTABRIA;1.07.-Mali;Femenino;2018;0
CANTABRIA;1.07.-Mali;Ambos sexos;2024;2
CANTABRIA;1.07.-Mali;Ambos sexos;2023;2
CANTABRIA;1.07.-Mali;Ambos sexos;2022;1
CANTABRIA;1.07.-Mali;Ambos sexos;2021;1
CANTABRIA;1.07.-Mali;Ambos sexos;2020;0
CANTABRIA;1.07.-Mali;Ambos sexos;2019;2
CANTABRIA;1.07.-Mali;Ambos sexos;2018;1
CANTABRIA;1.08.-Camerún;Masculino;2024;16
CANTABRIA;1.08.-Camerún;Masculino;2023;14
CANTABRIA;1.08.-Camerún;Masculino;2022;11
CANTABRIA;1.08.-Camerún;Masculino;2021;15
CANTABRIA;1.08.-Camerún;Masculino;2020;3
CANTABRIA;1.08.-Camerún;Masculino;2019;12
CANTABRIA;1.08.-Camerún;Masculino;2018;9
CANTABRIA;1.08.-Camerún;Femenino;2024;0
CANTABRIA;1.08.-Camerún;Femenino;2023;0
CANTABRIA;1.08.-Camerún;Femenino;2022;0
CANTABRIA;1.08.-Camerún;Femenino;2021;0
CANTABRIA;1.08.-Camerún;Femenino;2020;1
CANTABRIA;1.08.-Camerún;Femenino;2019;2
CANTABRIA;1.08.-Camerún;Femenino;2018;0
CANTABRIA;1.08.-Camerún;Ambos sexos;2024;16
CANTABRIA;1.08.-Camerún;Ambos sexos;2023;14
CANTABRIA;1.08.-Camerún;Ambos sexos;2022;11
CANTABRIA;1.08.-Camerún;Ambos sexos;2021;15
CANTABRIA;1.08.-Camerún;Ambos sexos;2020;4
CANTABRIA;1.08.-Camerún;Ambos sexos;2019;14
CANTABRIA;1.08.-Camerún;Ambos sexos;2018;9
CANTABRIA;1.09.-Gambia;Masculino;2024;2
CANTABRIA;1.09.-Gambia;Masculino;2023;2
CANTABRIA;1.09.-Gambia;Masculino;2022;1
CANTABRIA;1.09.-Gambia;Masculino;2021;0
CANTABRIA;1.09.-Gambia;Masculino;2020;1
CANTABRIA;1.09.-Gambia;Masculino;2019;1
CANTABRIA;1.09.-Gambia;Masculino;2018;2
CANTABRIA;1.09.-Gambia;Femenino;2024;0
CANTABRIA;1.09.-Gambia;Femenino;2023;0
CANTABRIA;1.09.-Gambia;Femenino;2022;0
CANTABRIA;1.09.-Gambia;Femenino;2021;0
CANTABRIA;1.09.-Gambia;Femenino;2020;0
CANTABRIA;1.09.-Gambia;Femenino;2019;0
CANTABRIA;1.09.-Gambia;Femenino;2018;0
CANTABRIA;1.09.-Gambia;Ambos sexos;2024;2
CANTABRIA;1.09.-Gambia;Ambos sexos;2023;2
CANTABRIA;1.09.-Gambia;Ambos sexos;2022;1
CANTABRIA;1.09.-Gambia;Ambos sexos;2021;0
CANTABRIA;1.09.-Gambia;Ambos sexos;2020;1
CANTABRIA;1.09.-Gambia;Ambos sexos;2019;1
CANTABRIA;1.09.-Gambia;Ambos sexos;2018;2
CANTABRIA;1.10.-Guinea Bisau;Masculino;2024;3
CANTABRIA;1.10.-Guinea Bisau;Masculino;2023;1
CANTABRIA;1.10.-Guinea Bisau;Masculino;2022;0
CANTABRIA;1.10.-Guinea Bisau;Masculino;2021;1
CANTABRIA;1.10.-Guinea Bisau;Masculino;2020;1
CANTABRIA;1.10.-Guinea Bisau;Masculino;2019;0
CANTABRIA;1.10.-Guinea Bisau;Masculino;2018;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2024;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2023;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2022;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2021;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2020;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2019;0
CANTABRIA;1.10.-Guinea Bisau;Femenino;2018;0
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2024;3
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2023;1
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2022;0
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2021;1
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2020;1
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2019;0
CANTABRIA;1.10.-Guinea Bisau;Ambos sexos;2018;0
CANTABRIA;1.11.-Resto África;Masculino;2024;7
CANTABRIA;1.11.-Resto África;Masculino;2023;12
CANTABRIA;1.11.-Resto África;Masculino;2022;15
CANTABRIA;1.11.-Resto África;Masculino;2021;9
CANTABRIA;1.11.-Resto África;Masculino;2020;5
CANTABRIA;1.11.-Resto África;Masculino;2019;13
CANTABRIA;1.11.-Resto África;Masculino;2018;8
CANTABRIA;1.11.-Resto África;Femenino;2024;3
CANTABRIA;1.11.-Resto África;Femenino;2023;0
CANTABRIA;1.11.-Resto África;Femenino;2022;1
CANTABRIA;1.11.-Resto África;Femenino;2021;1
CANTABRIA;1.11.-Resto África;Femenino;2020;0
CANTABRIA;1.11.-Resto África;Femenino;2019;0
CANTABRIA;1.11.-Resto África;Femenino;2018;2
CANTABRIA;1.11.-Resto África;Ambos sexos;2024;10
CANTABRIA;1.11.-Resto África;Ambos sexos;2023;12
CANTABRIA;1.11.-Resto África;Ambos sexos;2022;16
CANTABRIA;1.11.-Resto África;Ambos sexos;2021;10
CANTABRIA;1.11.-Resto África;Ambos sexos;2020;5
CANTABRIA;1.11.-Resto África;Ambos sexos;2019;13
CANTABRIA;1.11.-Resto África;Ambos sexos;2018;10
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2024;417
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2023;359
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2022;292
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2021;274
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2020;243
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2019;232
CANTABRIA;2.-CONTINENTE AMERICANO;Masculino;2018;180
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2024;115
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2023;110
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2022;110
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2021;98
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2020;67
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2019;94
CANTABRIA;2.-CONTINENTE AMERICANO;Femenino;2018;61
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2024;532
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2023;469
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2022;402
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2021;372
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2020;310
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2019;326
CANTABRIA;2.-CONTINENTE AMERICANO;Ambos sexos;2018;241
CANTABRIA;2.01.-Ecuador;Masculino;2024;18
CANTABRIA;2.01.-Ecuador;Masculino;2023;16
CANTABRIA;2.01.-Ecuador;Masculino;2022;16
CANTABRIA;2.01.-Ecuador;Masculino;2021;20
CANTABRIA;2.01.-Ecuador;Masculino;2020;20
CANTABRIA;2.01.-Ecuador;Masculino;2019;18
CANTABRIA;2.01.-Ecuador;Masculino;2018;12
CANTABRIA;2.01.-Ecuador;Femenino;2024;2
CANTABRIA;2.01.-Ecuador;Femenino;2023;2
CANTABRIA;2.01.-Ecuador;Femenino;2022;3
CANTABRIA;2.01.-Ecuador;Femenino;2021;6
CANTABRIA;2.01.-Ecuador;Femenino;2020;4
CANTABRIA;2.01.-Ecuador;Femenino;2019;12
CANTABRIA;2.01.-Ecuador;Femenino;2018;4
CANTABRIA;2.01.-Ecuador;Ambos sexos;2024;20
CANTABRIA;2.01.-Ecuador;Ambos sexos;2023;18
CANTABRIA;2.01.-Ecuador;Ambos sexos;2022;19
CANTABRIA;2.01.-Ecuador;Ambos sexos;2021;26
CANTABRIA;2.01.-Ecuador;Ambos sexos;2020;24
CANTABRIA;2.01.-Ecuador;Ambos sexos;2019;30
CANTABRIA;2.01.-Ecuador;Ambos sexos;2018;16
CANTABRIA;2.02.-Colombia;Masculino;2024;124
CANTABRIA;2.02.-Colombia;Masculino;2023;107
CANTABRIA;2.02.-Colombia;Masculino;2022;99
CANTABRIA;2.02.-Colombia;Masculino;2021;79
CANTABRIA;2.02.-Colombia;Masculino;2020;65
CANTABRIA;2.02.-Colombia;Masculino;2019;58
CANTABRIA;2.02.-Colombia;Masculino;2018;46
CANTABRIA;2.02.-Colombia;Femenino;2024;41
CANTABRIA;2.02.-Colombia;Femenino;2023;36
CANTABRIA;2.02.-Colombia;Femenino;2022;31
CANTABRIA;2.02.-Colombia;Femenino;2021;23
CANTABRIA;2.02.-Colombia;Femenino;2020;16
CANTABRIA;2.02.-Colombia;Femenino;2019;16
CANTABRIA;2.02.-Colombia;Femenino;2018;17
CANTABRIA;2.02.-Colombia;Ambos sexos;2024;165
CANTABRIA;2.02.-Colombia;Ambos sexos;2023;143
CANTABRIA;2.02.-Colombia;Ambos sexos;2022;130
CANTABRIA;2.02.-Colombia;Ambos sexos;2021;102
