Provincias;Tipología penal;periodo;Total
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2023;5.101
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2022;4.508
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2021;3.644
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2020;3.558
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2019;3.129
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2018;2.954
Total Nacional;5.4.-Sustracción de vehículos;2024;11.813
Total Nacional;5.4.-Sustracción de vehículos;2023;10.854
Total Nacional;5.4.-Sustracción de vehículos;2022;9.325
Total Nacional;5.4.-Sustracción de vehículos;2021;7.893
Total Nacional;5.4.-Sustracción de vehículos;2020;8.159
Total Nacional;5.4.-Sustracción de vehículos;2019;10.981
Total Nacional;5.4.-Sustracción de vehículos;2018;10.988
Total Nacional;5.5.-Estafas;2024;75.283
Total Nacional;5.5.-Estafas;2023;71.284
Total Nacional;5.5.-Estafas;2022;63.046
Total Nacional;5.5.-Estafas;2021;53.765
Total Nacional;5.5.-Estafas;2020;46.601
Total Nacional;5.5.-Estafas;2019;49.856
Total Nacional;5.5.-Estafas;2018;46.091
Total Nacional;5.5.1.-Estafas informáticas;2024;49.860
Total Nacional;5.5.1.-Estafas informáticas;2023;47.029
Total Nacional;5.5.1.-Estafas informáticas;2022;37.607
Total Nacional;5.5.1.-Estafas informáticas;2021;32.085
Total Nacional;5.5.1.-Estafas informáticas;2020;25.596
Total Nacional;5.5.1.-Estafas informáticas;2019;18.712
Total Nacional;5.5.1.-Estafas informáticas;2018;15.542
Total Nacional;5.6.-Daños;2024;34.149
Total Nacional;5.6.-Daños;2023;31.896
Total Nacional;5.6.-Daños;2022;31.558
Total Nacional;5.6.-Daños;2021;29.943
Total Nacional;5.6.-Daños;2020;25.708
Total Nacional;5.6.-Daños;2019;28.309
Total Nacional;5.6.-Daños;2018;26.845
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2024;1.621
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2023;1.252
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2022;1.068
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2021;1.018
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2020;792
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2019;1.573
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2018;2.020
Total Nacional;5.8.-Blanqueo de capitales;2024;800
Total Nacional;5.8.-Blanqueo de capitales;2023;510
Total Nacional;5.8.-Blanqueo de capitales;2022;367
Total Nacional;5.8.-Blanqueo de capitales;2021;311
Total Nacional;5.8.-Blanqueo de capitales;2020;287
Total Nacional;5.8.-Blanqueo de capitales;2019;265
Total Nacional;5.8.-Blanqueo de capitales;2018;257
Total Nacional;5.9.-Otros contra el patrimonio;2024;36.396
Total Nacional;5.9.-Otros contra el patrimonio;2023;33.299
Total Nacional;5.9.-Otros contra el patrimonio;2022;32.624
Total Nacional;5.9.-Otros contra el patrimonio;2021;30.118
Total Nacional;5.9.-Otros contra el patrimonio;2020;28.551
Total Nacional;5.9.-Otros contra el patrimonio;2019;31.068
Total Nacional;5.9.-Otros contra el patrimonio;2018;28.491
Total Nacional;6. SEGURIDAD COLECTIVA;2024;71.202
Total Nacional;6. SEGURIDAD COLECTIVA;2023;70.346
Total Nacional;6. SEGURIDAD COLECTIVA;2022;68.559
Total Nacional;6. SEGURIDAD COLECTIVA;2021;61.529
Total Nacional;6. SEGURIDAD COLECTIVA;2020;54.163
Total Nacional;6. SEGURIDAD COLECTIVA;2019;63.291
Total Nacional;6. SEGURIDAD COLECTIVA;2018;59.223
Total Nacional;6.1.-Tráfico de drogas;2024;19.362
Total Nacional;6.1.-Tráfico de drogas;2023;18.947
Total Nacional;6.1.-Tráfico de drogas;2022;16.629
Total Nacional;6.1.-Tráfico de drogas;2021;15.631
Total Nacional;6.1.-Tráfico de drogas;2020;14.717
Total Nacional;6.1.-Tráfico de drogas;2019;15.191
Total Nacional;6.1.-Tráfico de drogas;2018;13.140
Total Nacional;6.2.-Contra la seguridad vial;2024;49.542
Total Nacional;6.2.-Contra la seguridad vial;2023;49.678
Total Nacional;6.2.-Contra la seguridad vial;2022;50.252
Total Nacional;6.2.-Contra la seguridad vial;2021;44.553
Total Nacional;6.2.-Contra la seguridad vial;2020;38.210
Total Nacional;6.2.-Contra la seguridad vial;2019;46.622
Total Nacional;6.2.-Contra la seguridad vial;2018;44.382
Total Nacional;6.3.-Otros contra la seguridad colectiva;2024;2.298
Total Nacional;6.3.-Otros contra la seguridad colectiva;2023;1.721
Total Nacional;6.3.-Otros contra la seguridad colectiva;2022;1.678
Total Nacional;6.3.-Otros contra la seguridad colectiva;2021;1.345
Total Nacional;6.3.-Otros contra la seguridad colectiva;2020;1.236
Total Nacional;6.3.-Otros contra la seguridad colectiva;2019;1.478
Total Nacional;6.3.-Otros contra la seguridad colectiva;2018;1.701
Total Nacional;7. FALSEDADES;2024;16.469
Total Nacional;7. FALSEDADES;2023;15.783
Total Nacional;7. FALSEDADES;2022;15.190
Total Nacional;7. FALSEDADES;2021;14.417
Total Nacional;7. FALSEDADES;2020;11.492
Total Nacional;7. FALSEDADES;2019;14.629
Total Nacional;7. FALSEDADES;2018;14.042
Total Nacional;8. ADMÓN. PÚBLICA;2024;376
Total Nacional;8. ADMÓN. PÚBLICA;2023;353
Total Nacional;8. ADMÓN. PÚBLICA;2022;363
Total Nacional;8. ADMÓN. PÚBLICA;2021;407
Total Nacional;8. ADMÓN. PÚBLICA;2020;231
Total Nacional;8. ADMÓN. PÚBLICA;2019;327
