Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2024;1.594
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2023;1.327
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2022;1.245
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2021;1.056
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2020;843
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2019;1.795
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2018;2.273
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2024;844
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2023;642
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2022;690
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2021;651
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2020;502
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2019;602
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2018;701
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2024;24.951
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2023;22.568
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2022;21.634
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2021;20.106
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2020;20.489
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2019;10.777
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2018;10.803
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2024;71.706
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2023;71.713
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2022;70.323
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2021;64.341
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2020;57.625
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2019;61.239
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2018;57.327
TOTAL NACIONAL;6.1.-Tráfico de drogas;2024;26.194
TOTAL NACIONAL;6.1.-Tráfico de drogas;2023;26.205
TOTAL NACIONAL;6.1.-Tráfico de drogas;2022;24.029
TOTAL NACIONAL;6.1.-Tráfico de drogas;2021;23.920
TOTAL NACIONAL;6.1.-Tráfico de drogas;2020;22.771
TOTAL NACIONAL;6.1.-Tráfico de drogas;2019;22.888
TOTAL NACIONAL;6.1.-Tráfico de drogas;2018;20.350
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2024;43.129
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2023;43.614
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2022;44.548
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2021;38.996
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2020;33.526
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2019;36.861
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2018;34.894
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2024;2.383
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2023;1.894
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2022;1.746
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2021;1.425
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2020;1.328
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2019;1.490
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2018;2.083
TOTAL NACIONAL;7. FALSEDADES;2024;11.386
TOTAL NACIONAL;7. FALSEDADES;2023;11.124
TOTAL NACIONAL;7. FALSEDADES;2022;11.132
TOTAL NACIONAL;7. FALSEDADES;2021;11.739
TOTAL NACIONAL;7. FALSEDADES;2020;9.519
TOTAL NACIONAL;7. FALSEDADES;2019;11.288
TOTAL NACIONAL;7. FALSEDADES;2018;11.014
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2024;395
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2023;297
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2022;305
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2021;370
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2020;360
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2019;446
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2018;693
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2024;31.785
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2023;30.648
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2022;27.099
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2021;23.892
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2020;22.722
