Provincias;Tipología penal;periodo;Total
Total Nacional;6.1.-Tráfico de drogas;2018;20.350
Total Nacional;6.2.-Contra la seguridad vial;2024;43.129
Total Nacional;6.2.-Contra la seguridad vial;2023;43.614
Total Nacional;6.2.-Contra la seguridad vial;2022;44.548
Total Nacional;6.2.-Contra la seguridad vial;2021;38.996
Total Nacional;6.2.-Contra la seguridad vial;2020;33.526
Total Nacional;6.2.-Contra la seguridad vial;2019;36.861
Total Nacional;6.2.-Contra la seguridad vial;2018;34.894
Total Nacional;6.3.-Otros contra la seguridad colectiva;2024;2.383
Total Nacional;6.3.-Otros contra la seguridad colectiva;2023;1.894
Total Nacional;6.3.-Otros contra la seguridad colectiva;2022;1.746
Total Nacional;6.3.-Otros contra la seguridad colectiva;2021;1.425
Total Nacional;6.3.-Otros contra la seguridad colectiva;2020;1.328
Total Nacional;6.3.-Otros contra la seguridad colectiva;2019;1.490
Total Nacional;6.3.-Otros contra la seguridad colectiva;2018;2.083
Total Nacional;7. FALSEDADES;2024;11.386
Total Nacional;7. FALSEDADES;2023;11.124
Total Nacional;7. FALSEDADES;2022;11.132
Total Nacional;7. FALSEDADES;2021;11.739
Total Nacional;7. FALSEDADES;2020;9.519
Total Nacional;7. FALSEDADES;2019;11.288
Total Nacional;7. FALSEDADES;2018;11.014
Total Nacional;8. ADMÓN. PÚBLICA;2024;395
Total Nacional;8. ADMÓN. PÚBLICA;2023;297
Total Nacional;8. ADMÓN. PÚBLICA;2022;305
Total Nacional;8. ADMÓN. PÚBLICA;2021;370
Total Nacional;8. ADMÓN. PÚBLICA;2020;360
Total Nacional;8. ADMÓN. PÚBLICA;2019;446
Total Nacional;8. ADMÓN. PÚBLICA;2018;693
Total Nacional;9. ADMÓN. JUSTICIA;2024;31.785
Total Nacional;9. ADMÓN. JUSTICIA;2023;30.648
Total Nacional;9. ADMÓN. JUSTICIA;2022;27.099
Total Nacional;9. ADMÓN. JUSTICIA;2021;23.892
Total Nacional;9. ADMÓN. JUSTICIA;2020;22.722
Total Nacional;9. ADMÓN. JUSTICIA;2019;21.416
Total Nacional;9. ADMÓN. JUSTICIA;2018;20.045
Total Nacional;10. ORDEN PÚBLICO;2024;24.989
Total Nacional;10. ORDEN PÚBLICO;2023;24.453
Total Nacional;10. ORDEN PÚBLICO;2022;23.444
Total Nacional;10. ORDEN PÚBLICO;2021;23.962
Total Nacional;10. ORDEN PÚBLICO;2020;27.668
Total Nacional;10. ORDEN PÚBLICO;2019;19.712
Total Nacional;10. ORDEN PÚBLICO;2018;18.235
Total Nacional;11. LEGISLACIÓN ESPECIAL;2024;530
Total Nacional;11. LEGISLACIÓN ESPECIAL;2023;433
Total Nacional;11. LEGISLACIÓN ESPECIAL;2022;524
Total Nacional;11. LEGISLACIÓN ESPECIAL;2021;574
Total Nacional;11. LEGISLACIÓN ESPECIAL;2020;585
Total Nacional;11. LEGISLACIÓN ESPECIAL;2019;559
Total Nacional;11. LEGISLACIÓN ESPECIAL;2018;507
