Provincias;Tipología penal;Sexo;periodo;Total
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2023;6
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2022;3
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2021;7
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2020;0
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2019;0
Córdoba;3.2.-Agresión sexual con penetración;Masculino;2018;0
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2024;0
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2023;2
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2022;0
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2021;0
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2020;1
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2019;0
Córdoba;3.2.-Agresión sexual con penetración;Femenino;2018;0
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2024;2
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2023;8
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2022;3
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2021;7
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2020;1
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2019;0
Córdoba;3.2.-Agresión sexual con penetración;Ambos sexos;2018;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2024;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2023;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2022;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2021;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2020;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2019;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Masculino;2018;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2024;1
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2023;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2022;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2021;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2020;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2019;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Femenino;2018;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2024;1
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2023;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2022;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2021;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2020;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2019;0
Córdoba;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2018;0
Córdoba;3.4.-Pornografía de menores;Masculino;2024;0
Córdoba;3.4.-Pornografía de menores;Masculino;2023;1
Córdoba;3.4.-Pornografía de menores;Masculino;2022;0
Córdoba;3.4.-Pornografía de menores;Masculino;2021;0
Córdoba;3.4.-Pornografía de menores;Masculino;2020;0
Córdoba;3.4.-Pornografía de menores;Masculino;2019;1
Córdoba;3.4.-Pornografía de menores;Masculino;2018;1
Córdoba;3.4.-Pornografía de menores;Femenino;2024;0
Córdoba;3.4.-Pornografía de menores;Femenino;2023;0
Córdoba;3.4.-Pornografía de menores;Femenino;2022;0
Córdoba;3.4.-Pornografía de menores;Femenino;2021;0
Córdoba;3.4.-Pornografía de menores;Femenino;2020;0
Córdoba;3.4.-Pornografía de menores;Femenino;2019;0
Córdoba;3.4.-Pornografía de menores;Femenino;2018;0
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2024;0
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2023;1
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2022;0
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2021;0
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2020;0
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2019;1
Córdoba;3.4.-Pornografía de menores;Ambos sexos;2018;1
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2024;1
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2023;0
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2022;2
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2021;3
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2020;0
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2019;2
Córdoba;3.5.-Otros contra la libertad sexual;Masculino;2018;2
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2024;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2023;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2022;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2021;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2020;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2019;0
Córdoba;3.5.-Otros contra la libertad sexual;Femenino;2018;0
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2024;1
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2023;0
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2022;2
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2021;3
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2020;0
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2019;2
Córdoba;3.5.-Otros contra la libertad sexual;Ambos sexos;2018;2
Córdoba;4. RELACIONES FAMILIARES;Masculino;2024;3
Córdoba;4. RELACIONES FAMILIARES;Masculino;2023;2
Córdoba;4. RELACIONES FAMILIARES;Masculino;2022;0
Córdoba;4. RELACIONES FAMILIARES;Masculino;2021;0
Córdoba;4. RELACIONES FAMILIARES;Masculino;2020;1
Córdoba;4. RELACIONES FAMILIARES;Masculino;2019;3
Córdoba;4. RELACIONES FAMILIARES;Masculino;2018;1
Córdoba;4. RELACIONES FAMILIARES;Femenino;2024;1
Córdoba;4. RELACIONES FAMILIARES;Femenino;2023;2
Córdoba;4. RELACIONES FAMILIARES;Femenino;2022;0
Córdoba;4. RELACIONES FAMILIARES;Femenino;2021;2
Córdoba;4. RELACIONES FAMILIARES;Femenino;2020;0
Córdoba;4. RELACIONES FAMILIARES;Femenino;2019;1
Córdoba;4. RELACIONES FAMILIARES;Femenino;2018;2
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2024;4
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2023;4
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2022;0
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2021;2
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2020;1
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2019;4
Córdoba;4. RELACIONES FAMILIARES;Ambos sexos;2018;3
Córdoba;5. PATRIMONIO;Masculino;2024;330
Córdoba;5. PATRIMONIO;Masculino;2023;515
Córdoba;5. PATRIMONIO;Masculino;2022;398
Córdoba;5. PATRIMONIO;Masculino;2021;227
Córdoba;5. PATRIMONIO;Masculino;2020;153
Córdoba;5. PATRIMONIO;Masculino;2019;206
Córdoba;5. PATRIMONIO;Masculino;2018;280
Córdoba;5. PATRIMONIO;Femenino;2024;123
Córdoba;5. PATRIMONIO;Femenino;2023;154
Córdoba;5. PATRIMONIO;Femenino;2022;100
Córdoba;5. PATRIMONIO;Femenino;2021;46
Córdoba;5. PATRIMONIO;Femenino;2020;42
Córdoba;5. PATRIMONIO;Femenino;2019;56
Córdoba;5. PATRIMONIO;Femenino;2018;98
Córdoba;5. PATRIMONIO;Ambos sexos;2024;453
Córdoba;5. PATRIMONIO;Ambos sexos;2023;669
Córdoba;5. PATRIMONIO;Ambos sexos;2022;498
Córdoba;5. PATRIMONIO;Ambos sexos;2021;273
Córdoba;5. PATRIMONIO;Ambos sexos;2020;195
Córdoba;5. PATRIMONIO;Ambos sexos;2019;262
Córdoba;5. PATRIMONIO;Ambos sexos;2018;378
Córdoba;5.1.-Hurtos;Masculino;2024;126
Córdoba;5.1.-Hurtos;Masculino;2023;175
Córdoba;5.1.-Hurtos;Masculino;2022;85
Córdoba;5.1.-Hurtos;Masculino;2021;56
Córdoba;5.1.-Hurtos;Masculino;2020;42
Córdoba;5.1.-Hurtos;Masculino;2019;64
Córdoba;5.1.-Hurtos;Masculino;2018;104
Córdoba;5.1.-Hurtos;Femenino;2024;68
Córdoba;5.1.-Hurtos;Femenino;2023;79
Córdoba;5.1.-Hurtos;Femenino;2022;47
Córdoba;5.1.-Hurtos;Femenino;2021;20
Córdoba;5.1.-Hurtos;Femenino;2020;21
Córdoba;5.1.-Hurtos;Femenino;2019;22
Córdoba;5.1.-Hurtos;Femenino;2018;53
Córdoba;5.1.-Hurtos;Ambos sexos;2024;194
Córdoba;5.1.-Hurtos;Ambos sexos;2023;254
Córdoba;5.1.-Hurtos;Ambos sexos;2022;132
Córdoba;5.1.-Hurtos;Ambos sexos;2021;76
Córdoba;5.1.-Hurtos;Ambos sexos;2020;63
Córdoba;5.1.-Hurtos;Ambos sexos;2019;86
Córdoba;5.1.-Hurtos;Ambos sexos;2018;157
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2024;59
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2023;93
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2022;112
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2021;73
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2020;49
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2019;72
Córdoba;5.2.-Robos con fuerza en las cosas;Masculino;2018;70
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2024;3
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2023;6
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2022;4
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2021;3
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2020;7
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2019;14
Córdoba;5.2.-Robos con fuerza en las cosas;Femenino;2018;7
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2024;62
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2023;99
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2022;116
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2021;76
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2020;56
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2019;86
Córdoba;5.2.-Robos con fuerza en las cosas;Ambos sexos;2018;77
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2024;10
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2023;40
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2022;17
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2021;7
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2020;5
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2019;6
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2018;1
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2024;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2023;1
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2022;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2021;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2020;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2019;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2018;0
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2024;10
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2023;41
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2022;17
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2021;7
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2020;5
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2019;6
Córdoba;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2018;1
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2024;27
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2023;13
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2022;76
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2021;30
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2020;16
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2019;28
Córdoba;5.2.2.-Robos con fuerza en viviendas;Masculino;2018;34
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2024;2
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2023;3
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2022;4
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2021;2
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2020;3
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2019;2
Córdoba;5.2.2.-Robos con fuerza en viviendas;Femenino;2018;2
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2024;29
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2023;16
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2022;80
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2021;32
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2020;19
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2019;30
Córdoba;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2018;36
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2024;8
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2023;16
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2022;8
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2021;19
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2020;16
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2019;21
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Masculino;2018;24
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2024;0
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2023;0
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2022;0
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2021;0
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2020;0
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2019;10
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Femenino;2018;2
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2024;8
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2023;16
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2022;8
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2021;19
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2020;16
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2019;31
Córdoba;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2018;26
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2024;33
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2023;56
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2022;37
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2021;27
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2020;22
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2019;22
Córdoba;5.3.-Robos con violencia o intimidación;Masculino;2018;26
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2024;2
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2023;2
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2022;1
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2021;1
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2020;1
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2019;3
Córdoba;5.3.-Robos con violencia o intimidación;Femenino;2018;6
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2024;35
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2023;58
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2022;38
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2021;28
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2020;23
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2019;25
Córdoba;5.3.-Robos con violencia o intimidación;Ambos sexos;2018;32
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2024;21
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2023;40
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2022;27
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2021;20
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2020;7
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2019;14
Córdoba;5.3.1.-Robos con violencia en vía pública;Masculino;2018;19
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2024;0
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2023;1
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2022;1
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2021;0
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2020;0
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2019;1
Córdoba;5.3.1.-Robos con violencia en vía pública;Femenino;2018;2
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2024;21
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2023;41
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2022;28
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2021;20
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2020;7
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2019;15
Córdoba;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2018;21
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2024;8
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2023;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2022;3
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2021;0
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2020;2
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2019;2
Córdoba;5.3.2.-Robos con violencia en viviendas;Masculino;2018;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2024;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2023;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2022;0
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2021;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2020;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2019;2
Córdoba;5.3.2.-Robos con violencia en viviendas;Femenino;2018;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2024;9
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2023;2
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2022;3
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2021;1
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2020;3
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2019;4
Córdoba;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2018;2
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2024;3
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2023;6
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2022;2
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2021;5
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2020;13
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2019;4
Córdoba;5.3.3.-Robos con violencia en establecimientos;Masculino;2018;1
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2024;1
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2023;0
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2022;0
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2021;0
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2020;0
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2019;0
Córdoba;5.3.3.-Robos con violencia en establecimientos;Femenino;2018;1
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2024;4
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2023;6
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2022;2
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2021;5
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2020;13
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2019;4
Córdoba;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2018;2
Córdoba;5.4.-Sustracción de vehículos;Masculino;2024;1
Córdoba;5.4.-Sustracción de vehículos;Masculino;2023;2
Córdoba;5.4.-Sustracción de vehículos;Masculino;2022;2
Córdoba;5.4.-Sustracción de vehículos;Masculino;2021;1
Córdoba;5.4.-Sustracción de vehículos;Masculino;2020;1
Córdoba;5.4.-Sustracción de vehículos;Masculino;2019;3
Córdoba;5.4.-Sustracción de vehículos;Masculino;2018;0
Córdoba;5.4.-Sustracción de vehículos;Femenino;2024;1
Córdoba;5.4.-Sustracción de vehículos;Femenino;2023;0
Córdoba;5.4.-Sustracción de vehículos;Femenino;2022;0
Córdoba;5.4.-Sustracción de vehículos;Femenino;2021;0
Córdoba;5.4.-Sustracción de vehículos;Femenino;2020;1
Córdoba;5.4.-Sustracción de vehículos;Femenino;2019;0
Córdoba;5.4.-Sustracción de vehículos;Femenino;2018;0
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2024;2
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2023;2
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2022;2
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2021;1
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2020;2
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2019;3
Córdoba;5.4.-Sustracción de vehículos;Ambos sexos;2018;0
Córdoba;5.5.-Estafas;Masculino;2024;77
Córdoba;5.5.-Estafas;Masculino;2023;162
Córdoba;5.5.-Estafas;Masculino;2022;125
Córdoba;5.5.-Estafas;Masculino;2021;15
Córdoba;5.5.-Estafas;Masculino;2020;11
Córdoba;5.5.-Estafas;Masculino;2019;15
Córdoba;5.5.-Estafas;Masculino;2018;16
Córdoba;5.5.-Estafas;Femenino;2024;33
Córdoba;5.5.-Estafas;Femenino;2023;51
Córdoba;5.5.-Estafas;Femenino;2022;35
Córdoba;5.5.-Estafas;Femenino;2021;2
Córdoba;5.5.-Estafas;Femenino;2020;2
Córdoba;5.5.-Estafas;Femenino;2019;4
Córdoba;5.5.-Estafas;Femenino;2018;5
Córdoba;5.5.-Estafas;Ambos sexos;2024;110
Córdoba;5.5.-Estafas;Ambos sexos;2023;213
Córdoba;5.5.-Estafas;Ambos sexos;2022;160
Córdoba;5.5.-Estafas;Ambos sexos;2021;17
Córdoba;5.5.-Estafas;Ambos sexos;2020;13
Córdoba;5.5.-Estafas;Ambos sexos;2019;19
Córdoba;5.5.-Estafas;Ambos sexos;2018;21
Córdoba;5.5.1.-Estafas informáticas;Masculino;2024;73
Córdoba;5.5.1.-Estafas informáticas;Masculino;2023;151
Córdoba;5.5.1.-Estafas informáticas;Masculino;2022;101
Córdoba;5.5.1.-Estafas informáticas;Masculino;2021;5
Córdoba;5.5.1.-Estafas informáticas;Masculino;2020;6
Córdoba;5.5.1.-Estafas informáticas;Masculino;2019;5
Córdoba;5.5.1.-Estafas informáticas;Masculino;2018;3
Córdoba;5.5.1.-Estafas informáticas;Femenino;2024;32
Córdoba;5.5.1.-Estafas informáticas;Femenino;2023;51
Córdoba;5.5.1.-Estafas informáticas;Femenino;2022;30
Córdoba;5.5.1.-Estafas informáticas;Femenino;2021;1
Córdoba;5.5.1.-Estafas informáticas;Femenino;2020;1
Córdoba;5.5.1.-Estafas informáticas;Femenino;2019;2
Córdoba;5.5.1.-Estafas informáticas;Femenino;2018;3
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2024;105
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2023;202
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2022;131
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2021;6
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2020;7
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2019;7
Córdoba;5.5.1.-Estafas informáticas;Ambos sexos;2018;6
Córdoba;5.6.-Daños;Masculino;2024;7
Córdoba;5.6.-Daños;Masculino;2023;5
Córdoba;5.6.-Daños;Masculino;2022;7
Córdoba;5.6.-Daños;Masculino;2021;4
Córdoba;5.6.-Daños;Masculino;2020;7
Córdoba;5.6.-Daños;Masculino;2019;8
Córdoba;5.6.-Daños;Masculino;2018;7
Córdoba;5.6.-Daños;Femenino;2024;4
Córdoba;5.6.-Daños;Femenino;2023;1
Córdoba;5.6.-Daños;Femenino;2022;1
Córdoba;5.6.-Daños;Femenino;2021;0
Córdoba;5.6.-Daños;Femenino;2020;1
Córdoba;5.6.-Daños;Femenino;2019;0
Córdoba;5.6.-Daños;Femenino;2018;1
Córdoba;5.6.-Daños;Ambos sexos;2024;11
Córdoba;5.6.-Daños;Ambos sexos;2023;6
Córdoba;5.6.-Daños;Ambos sexos;2022;8
Córdoba;5.6.-Daños;Ambos sexos;2021;4
Córdoba;5.6.-Daños;Ambos sexos;2020;8
Córdoba;5.6.-Daños;Ambos sexos;2019;8
Córdoba;5.6.-Daños;Ambos sexos;2018;8
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2024;0
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2023;0
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2022;1
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2021;0
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2020;0
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2019;0
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Masculino;2018;1
Córdoba;5.7.-Contra la propiedad intelectual/industrial;Femenino;2024;0
