Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2023;40.050
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2022;35.668
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2021;31.201
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2020;31.282
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2019;39.704
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2018;40.365
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;11.115
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;10.438
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;9.060
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;7.742
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;6.103
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;8.567
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;8.272
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2024;12.110
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;11.762
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;10.927
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;10.004
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;10.753
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;10.775
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;12.028
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2024;9.322
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;9.411
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;8.086
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;7.145
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;7.570
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;7.461
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;7.005
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2024;22.479
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;21.381
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;19.040
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;16.037
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;14.569
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;18.196
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;16.043
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2024;12.784
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;12.405
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;10.911
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;8.999
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;7.998
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;6.927
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;5.996
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2024;1.893
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;1.646
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;1.492
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;1.479
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;1.351
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;1.181
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;1.154
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2024;5.609
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;5.101
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;4.508
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;3.644
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;3.558
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;3.129
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;2.954
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2024;11.813
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;10.854
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;9.325
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;7.893
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;8.159
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;10.981
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;10.988
TOTAL NACIONAL;5.5.-Estafas;2024;75.283
TOTAL NACIONAL;5.5.-Estafas;2023;71.284
TOTAL NACIONAL;5.5.-Estafas;2022;63.046
TOTAL NACIONAL;5.5.-Estafas;2021;53.765
TOTAL NACIONAL;5.5.-Estafas;2020;46.601
TOTAL NACIONAL;5.5.-Estafas;2019;49.856
TOTAL NACIONAL;5.5.-Estafas;2018;46.091
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2024;49.860
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2023;47.029
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2022;37.607
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2021;32.085
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2020;25.596
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2019;18.712
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2018;15.542
TOTAL NACIONAL;5.6.-Daños;2024;34.149
TOTAL NACIONAL;5.6.-Daños;2023;31.896
TOTAL NACIONAL;5.6.-Daños;2022;31.558
TOTAL NACIONAL;5.6.-Daños;2021;29.943
TOTAL NACIONAL;5.6.-Daños;2020;25.708
TOTAL NACIONAL;5.6.-Daños;2019;28.309
TOTAL NACIONAL;5.6.-Daños;2018;26.845
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2024;1.621
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2023;1.252
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2022;1.068
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2021;1.018
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2020;792
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2019;1.573
TOTAL NACIONAL;5.7.-Contra la propiedad intelectual/industrial;2018;2.020
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2024;800
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2023;510
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2022;367
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2021;311
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2020;287
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2019;265
TOTAL NACIONAL;5.8.-Blanqueo de capitales;2018;257
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2024;36.396
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2023;33.299
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2022;32.624
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2021;30.118
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2020;28.551
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2019;31.068
TOTAL NACIONAL;5.9.-Otros contra el patrimonio;2018;28.491
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2024;71.202
