Provincias;Tipología penal;periodo;Total
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2024;8.553
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2023;8.238
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2022;8.210
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2021;6.663
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2020;6.138
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2019;5.609
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2018;5.355
Total Nacional;5.4.-Sustracción de vehículos;2024;32.965
Total Nacional;5.4.-Sustracción de vehículos;2023;32.839
Total Nacional;5.4.-Sustracción de vehículos;2022;30.767
Total Nacional;5.4.-Sustracción de vehículos;2021;26.417
Total Nacional;5.4.-Sustracción de vehículos;2020;25.387
Total Nacional;5.4.-Sustracción de vehículos;2019;35.105
Total Nacional;5.4.-Sustracción de vehículos;2018;35.897
Total Nacional;5.5.-Estafas;2024;517.271
Total Nacional;5.5.-Estafas;2023;533.379
Total Nacional;5.5.-Estafas;2022;466.566
Total Nacional;5.5.-Estafas;2021;373.113
Total Nacional;5.5.-Estafas;2020;360.844
Total Nacional;5.5.-Estafas;2019;327.723
Total Nacional;5.5.-Estafas;2018;289.259
Total Nacional;5.5.1.-Estafas informáticas;2024;412.850
Total Nacional;5.5.1.-Estafas informáticas;2023;427.448
Total Nacional;5.5.1.-Estafas informáticas;2022;335.995
Total Nacional;5.5.1.-Estafas informáticas;2021;267.011
Total Nacional;5.5.1.-Estafas informáticas;2020;257.907
Total Nacional;5.5.1.-Estafas informáticas;2019;192.375
Total Nacional;5.5.1.-Estafas informáticas;2018;136.656
Total Nacional;5.6.-Daños;2024;210.805
Total Nacional;5.6.-Daños;2023;209.299
Total Nacional;5.6.-Daños;2022;213.694
Total Nacional;5.6.-Daños;2021;201.828
Total Nacional;5.6.-Daños;2020;180.429
Total Nacional;5.6.-Daños;2019;219.424
Total Nacional;5.6.-Daños;2018;213.815
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2024;1.801
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2023;1.451
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2022;1.217
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2021;1.176
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2020;930
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2019;1.807
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2018;2.205
Total Nacional;5.8.-Blanqueo de capitales;2024;808
Total Nacional;5.8.-Blanqueo de capitales;2023;516
Total Nacional;5.8.-Blanqueo de capitales;2022;411
Total Nacional;5.8.-Blanqueo de capitales;2021;343
Total Nacional;5.8.-Blanqueo de capitales;2020;310
Total Nacional;5.8.-Blanqueo de capitales;2019;295
Total Nacional;5.8.-Blanqueo de capitales;2018;272
Total Nacional;5.9.-Otros contra el patrimonio;2024;71.673
Total Nacional;5.9.-Otros contra el patrimonio;2023;66.366
Total Nacional;5.9.-Otros contra el patrimonio;2022;63.240
Total Nacional;5.9.-Otros contra el patrimonio;2021;56.132
Total Nacional;5.9.-Otros contra el patrimonio;2020;51.220
Total Nacional;5.9.-Otros contra el patrimonio;2019;58.365
Total Nacional;5.9.-Otros contra el patrimonio;2018;54.384
Total Nacional;6. SEGURIDAD COLECTIVA;2024;78.256
Total Nacional;6. SEGURIDAD COLECTIVA;2023;77.130
Total Nacional;6. SEGURIDAD COLECTIVA;2022;76.692
Total Nacional;6. SEGURIDAD COLECTIVA;2021;68.891
Total Nacional;6. SEGURIDAD COLECTIVA;2020;60.162
Total Nacional;6. SEGURIDAD COLECTIVA;2019;68.749
Total Nacional;6. SEGURIDAD COLECTIVA;2018;64.126
Total Nacional;6.1.-Tráfico de drogas;2024;21.540
Total Nacional;6.1.-Tráfico de drogas;2023;21.033
Total Nacional;6.1.-Tráfico de drogas;2022;19.057
Total Nacional;6.1.-Tráfico de drogas;2021;18.313
Total Nacional;6.1.-Tráfico de drogas;2020;17.112
Total Nacional;6.1.-Tráfico de drogas;2019;16.624
Total Nacional;6.1.-Tráfico de drogas;2018;14.133
Total Nacional;6.2.-Contra la seguridad vial;2024;53.480
Total Nacional;6.2.-Contra la seguridad vial;2023;53.517
Total Nacional;6.2.-Contra la seguridad vial;2022;54.976
Total Nacional;6.2.-Contra la seguridad vial;2021;48.394
Total Nacional;6.2.-Contra la seguridad vial;2020;41.120
Total Nacional;6.2.-Contra la seguridad vial;2019;49.869
Total Nacional;6.2.-Contra la seguridad vial;2018;47.648
Total Nacional;6.3.-Otros contra la seguridad colectiva;2024;3.236
Total Nacional;6.3.-Otros contra la seguridad colectiva;2023;2.580
Total Nacional;6.3.-Otros contra la seguridad colectiva;2022;2.659
Total Nacional;6.3.-Otros contra la seguridad colectiva;2021;2.184
Total Nacional;6.3.-Otros contra la seguridad colectiva;2020;1.930
Total Nacional;6.3.-Otros contra la seguridad colectiva;2019;2.256
Total Nacional;6.3.-Otros contra la seguridad colectiva;2018;2.345
Total Nacional;7. FALSEDADES;2024;45.715
Total Nacional;7. FALSEDADES;2023;40.889
Total Nacional;7. FALSEDADES;2022;37.717
Total Nacional;7. FALSEDADES;2021;34.058
Total Nacional;7. FALSEDADES;2020;24.020
Total Nacional;7. FALSEDADES;2019;24.529
Total Nacional;7. FALSEDADES;2018;22.399
Total Nacional;8. ADMÓN. PÚBLICA;2024;701
Total Nacional;8. ADMÓN. PÚBLICA;2023;506
Total Nacional;8. ADMÓN. PÚBLICA;2022;509
Total Nacional;8. ADMÓN. PÚBLICA;2021;541
Total Nacional;8. ADMÓN. PÚBLICA;2020;350
Total Nacional;8. ADMÓN. PÚBLICA;2019;416
Total Nacional;8. ADMÓN. PÚBLICA;2018;510
Total Nacional;9. ADMÓN. JUSTICIA;2024;43.933
Total Nacional;9. ADMÓN. JUSTICIA;2023;41.910
Total Nacional;9. ADMÓN. JUSTICIA;2022;37.910
Total Nacional;9. ADMÓN. JUSTICIA;2021;33.370
Total Nacional;9. ADMÓN. JUSTICIA;2020;31.140
Total Nacional;9. ADMÓN. JUSTICIA;2019;32.082
Total Nacional;9. ADMÓN. JUSTICIA;2018;30.290
Total Nacional;10. ORDEN PÚBLICO;2024;31.062
Total Nacional;10. ORDEN PÚBLICO;2023;30.011
Total Nacional;10. ORDEN PÚBLICO;2022;28.562
Total Nacional;10. ORDEN PÚBLICO;2021;27.594
Total Nacional;10. ORDEN PÚBLICO;2020;30.272
Total Nacional;10. ORDEN PÚBLICO;2019;21.877
Total Nacional;10. ORDEN PÚBLICO;2018;20.121
Total Nacional;11. LEGISLACIÓN ESPECIAL;2024;436
Total Nacional;11. LEGISLACIÓN ESPECIAL;2023;464
Total Nacional;11. LEGISLACIÓN ESPECIAL;2022;330
Total Nacional;11. LEGISLACIÓN ESPECIAL;2021;343
Total Nacional;11. LEGISLACIÓN ESPECIAL;2020;325
Total Nacional;11. LEGISLACIÓN ESPECIAL;2019;306
Total Nacional;11. LEGISLACIÓN ESPECIAL;2018;209
Total Nacional;12. OTRAS INFRACCIONES PENALES;2024;11.678
Total Nacional;12. OTRAS INFRACCIONES PENALES;2023;11.718
Total Nacional;12. OTRAS INFRACCIONES PENALES;2022;10.646
Total Nacional;12. OTRAS INFRACCIONES PENALES;2021;10.341
Total Nacional;12. OTRAS INFRACCIONES PENALES;2020;9.665
Total Nacional;12. OTRAS INFRACCIONES PENALES;2019;9.970
Total Nacional;12. OTRAS INFRACCIONES PENALES;2018;9.725
Total Nacional;TOTAL INFRACCIONES PENALES;2024;2.454.206
Total Nacional;TOTAL INFRACCIONES PENALES;2023;2.464.759
Total Nacional;TOTAL INFRACCIONES PENALES;2022;2.323.075
Total Nacional;TOTAL INFRACCIONES PENALES;2021;1.957.719
Total Nacional;TOTAL INFRACCIONES PENALES;2020;1.766.779
Total Nacional;TOTAL INFRACCIONES PENALES;2019;2.199.475
Total Nacional;TOTAL INFRACCIONES PENALES;2018;2.131.118
